번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
1,HTML 심화,HTML의 풀네임(Full Name)으로 올바른 것은?,Hyper Text Markup Language,Hyper Tool Markup Language,High Text Machine Language,Hyper Transfer Markup Language,0,웹 문서를 만드는 언어예요,HTML은 Hyper Text Markup Language의 약자로 웹 페이지 구조를 기술하는 언어입니다.,잘못된 명칭입니다.,잘못된 명칭입니다.,잘못된 명칭입니다.
2,HTML 심화,HTML 문서의 가장 첫 줄에 작성하여 브라우저에게 HTML5 버전임을 알리는 선언문은?,<html>,<head>,<!DOCTYPE html>,<meta charset="utf-8">,2,문서의 형식을 선언해요,HTML 문서의 시작을 알리는 태그입니다.,문서 정보를 담는 영역입니다.,현재 표준인 HTML5를 사용함을 브라우저에 알리는 선언문입니다.,인코딩 설정 메타 태그입니다.
3,HTML 심화,HTML 문서에서 실제 사용자에게 보이는 모든 콘텐츠를 담는 최상위 태그는?,<head>,<header>,<body>,<section>,2,우리 몸(Body)과 같은 핵심 영역이에요,보이지 않는 메타 정보를 담습니다.,상단 영역을 정의하는 시맨틱 태그입니다.,실제 브라우저 화면에 렌더링되어 사용자에게 보이는 콘텐츠 영역입니다.,문서의 구획을 나눕니다.
4,HTML 심화,다음 중 브라우저 탭에 표시되는 페이지 제목을 설정하는 태그는?,<meta>,<title>,<link>,<header>,1,탭에 써있는 글자를 바꿔요,문서의 메타 데이터를 정의합니다.,웹 페이지의 제목을 정의하며 브라우저 탭에 나타납니다.,외부 리소스를 연결합니다.,본문의 머리말 구역입니다.
5,HTML 심화,HTML 문서의 인코딩 방식(예: UTF-8)을 설정할 때 사용하는 태그는?,<meta>,<base>,<style>,<script>,0,글자가 안 깨지게 설정해요,<meta charset="utf-8">과 같이 사용하여 문자 인코딩을 지정합니다.,기본 URL 주소를 설정합니다.,CSS 스타일 작성용 태그입니다.,JS 코드 작성용 태그입니다.
6,HTML 심화,제목을 나타내는 태그 중 가장 글자 크기가 작고 중요도가 낮은 것은?,<h1>,<h3>,<h6>,<h10>,2,1번부터 6번까지만 있어요,가장 크고 중요한 제목입니다.,중간 크기의 제목입니다.,가장 작고 중요도가 낮은 표준 제목 태그입니다.,존재하지 않는 태그입니다.
7,HTML 심화,일반적인 텍스트 단락(Paragraph)을 만들 때 사용하는 태그는?,<div>,<span>,<p>,<br>,2,문단(Paragraph)의 첫 글자예요,단순 구역을 나누는 블록 요소입니다.,인라인 범위를 묶는 요소입니다.,하나의 문단을 정의하며 자동으로 위아래 여백이 생깁니다.,줄바꿈 태그입니다.
8,HTML 심화,문장 안에서 줄바꿈을 하기 위해 사용하는 태그는?,<hr>,<br>,<line>,<break>,1,브레이크(Break)의 약자예요,수평선을 긋는 태그입니다.,강제로 줄을 바꾸는 빈 태그입니다.,표준 태그가 아닙니다.,표준 태그가 아닙니다.
9,HTML 심화,수평선(줄)을 그어 구역을 시각적으로 구분할 때 사용하는 태그는?,<line>,<br>,<hr>,<divider>,2,가로(Horizontal) 선을 그어요,표준 태그가 아닙니다.,줄바꿈 태그입니다.,주제의 전환을 위해 수평선을 긋는 태그입니다.,표준 태그가 아닙니다.
10,HTML 심화,텍스트를 굵게 강조하고 싶을 때 사용하는 태그로 '중요함'의 의미를 내포하는 것은?,<b>,<i>,<strong>,<em>,2,매우 강(Strong)하게 강조해요,시각적으로만 굵게 표시합니다.,단순 기울임꼴입니다.,시각적 굵기뿐만 아니라 의미적 중요성을 전달합니다.,기울임 형태의 강조입니다.
11,HTML 심화,텍스트를 기울임꼴로 표시하고 싶을 때 사용하는 태그로 '강조'의 의미를 내포하는 것은?,<i>,<em>,<u>,<s>,1,강조(Emphasis)의 약자예요,단순한 기울임꼴 표시입니다.,텍스트를 기울여 의미적으로 강조합니다.,밑줄을 긋는 태그입니다.,취소선을 긋는 태그입니다.
12,HTML 심화,이미 작성된 형식 그대로(공백 줄바꿈 포함) 화면에 출력하고 싶을 때 사용하는 태그는?,<pre>,<code>,<p>,<div>,0,미리(Pre) 서식이 정해진 텍스트예요,작성한 그대로의 여백과 줄바꿈을 유지하여 출력합니다.,코드 조각을 나타내며 보통 pre와 함께 씁니다.,일반 문단으로 공백을 하나로 합칩니다.,단순 구획 정리용입니다.
13,HTML 심화,순서가 없는 목록(Bulleted List)을 만들 때 사용하는 태그는?,<ol>,<ul>,<dl>,<li>,1,순서가 없어서 언오더드(Unordered)!,순서가 있는 번호 목록입니다.,순서가 없는 불렛 포인트 목록을 만듭니다.,정의 목록입니다.,목록의 각 항목 태그입니다.
14,HTML 심화,순서가 있는 목록(Numbered List)을 만들 때 사용하는 태그는?,<ul>,<ol>,<list>,<dl>,1,번호 순서대로 오더(Order)를 내려요,순서 없는 목록입니다.,항목 앞에 번호를 자동으로 매기는 목록을 만듭니다.,표준 태그가 아닙니다.,용어 정의 목록입니다.
15,HTML 심화,목록의 각 항목을 나타내는 태그로 <ul>이나 <ol> 내부에 위치해야 하는 태그는?,<item>,<entry>,<li>,<td>,2,리스트 아이템(List Item)의 약자예요,표준 태그가 아닙니다.,표준 태그가 아닙니다.,모든 목록의 개별 항목을 정의하는 표준 태그입니다.,표의 셀 태그입니다.
16,HTML 심화,정의 목록에서 '용어'를 설명할 때 사용하는 태그 조합으로 옳은 것은?,<ul> - <li>,<dl> - <dt> - <dd>,<table> - <tr>,<form> - <input>,1,설명(Description) 리스트예요,일반 목록 조합입니다.,DL은 목록 DT는 용어 DD는 설명을 나타냅니다.,표 제작 조합입니다.,입력 폼 조합입니다.
17,HTML 심화,하이퍼링크를 생성할 때 사용하는 태그는?,<link>,<href>,<a>,<url>,2,앵커(Anchor)의 약자예요,외부 리소스 연결용입니다.,태그가 아니라 주소 속성명입니다.,다른 페이지로 연결되는 링크를 생성하는 태그입니다.,태그가 아닌 주소의 통칭입니다.
18,HTML 심화,<a> 태그에서 링크를 새 탭에서 열리게 하려면 어떤 속성을 사용해야 하는가?,target="_self",target="_blank",target="_top",target="_parent",1,빈(Blank) 페이지를 새로 열어요,현재 창에서 열기입니다(기본값).,새로운 탭이나 창에서 링크를 엽니다.,최상위 프레임에서 엽니다.,부모 프레임에서 엽니다.
19,HTML 심화,페이지 내의 특정 위치(ID)로 이동하는 '앵커' 링크의 올바른 형식은?,<a href="section1">,<a href="#section1">,<a link="section1">,<a path="#section1">,1,아이디 앞에 샵(#)을 붙여요,외부 파일로 인식하게 됩니다.,동일 페이지 내 특정 ID 요소로 즉시 이동합니다.,잘못된 속성명입니다.,잘못된 속성명입니다.
20,HTML 심화,이미지를 삽입할 때 사용하는 태그는?,<image>,<img>,<pic>,<src>,1,이미지의 줄임말이에요,표준 태그가 아닙니다.,웹 페이지에 이미지를 출력하는 표준 빈 태그입니다.,표준 태그가 아닙니다.,태그가 아닌 이미지 주소 속성명입니다.
21,HTML 심화,<img> 태그에서 이미지의 파일 경로를 지정하는 필수 속성은?,alt,src,title,path,1,소스(Source)를 알려줘야 해요,대체 텍스트 속성입니다.,이미지 파일이 위치한 경로를 지정하는 필수 속성입니다.,도움말 속성입니다.,잘못된 속성명입니다.
22,HTML 심화,<img> 태그에서 이미지가 로딩되지 않았을 때 대신 보여줄 텍스트를 지정하는 속성은?,src,title,alt,desc,2,이미지 대신(Alternative) 나올 글자예요,이미지 경로 속성입니다.,마우스 호버 설명 속성입니다.,이미지를 볼 수 없는 상황을 위한 대체 텍스트 속성입니다.,표준 속성명이 아닙니다.
23,HTML 심화,다음 중 HTML 요소의 고유한 이름을 붙여 스크립트나 스타일에서 하나만 선택할 때 사용하는 속성은?,class,name,id,type,2,딱 하나뿐인 아이디(ID)예요,여러 요소에 중복 적용 가능합니다.,주로 데이터 전송용 이름입니다.,문서 내에서 유일해야 하는 고유 식별자 속성입니다.,종류를 정하는 속성입니다.
24,HTML 심화,여러 개의 요소에 공통된 이름을 붙여 그룹으로 관리할 때 사용하는 속성은?,id,class,group,tag,1,같은 반(Class) 친구들처럼 묶어요,유일해야 하는 식별자입니다.,여러 태그를 하나의 스타일 그룹으로 묶는 속성입니다.,표준 속성명이 아닙니다.,태그 그 자체를 의미하는 일반 명사입니다.
25,HTML 심화,태그 안에 직접 스타일을 지정하는 방식을 무엇이라 하는가?,Inline Style,Internal Style,External Style,Direct Style,0,라인(Line) 안에 직접 써요,태그 내부에 style 속성을 직접 적는 방식입니다.,head 태그 안에 적는 방식입니다.,별도 파일을 연결하는 방식입니다.,표준 용어가 아닙니다.
26,HTML 심화,표(Table)를 만들 때 행(Row)을 정의하는 태그는?,<table>,<tr>,<td>,<th>,1,줄(Row)을 먼저 만들어야 해요,표 전체 틀입니다.,가로 한 줄을 생성하는 테이블 로우 태그입니다.,일반 데이터 셀입니다.,제목 셀입니다.
27,HTML 심화,표의 제목 셀을 나타내며 기본적으로 글자가 굵게 표시되고 가운데 정렬되는 태그는?,<td>,<tr>,<th>,<thead>,2,헤더(Header) 역할을 하는 셀이에요,일반 데이터 셀로 정렬 기능이 없습니다.,가로 줄 태그입니다.,자동으로 굵게 중앙 정렬되는 제목 셀 태그입니다.,머리글 구역 그룹화 태그입니다.
28,HTML 심화,표에서 셀을 가로로(열 방향) 병합할 때 사용하는 속성은?,rowspan,colspan,merge,align,1,칸(Column)을 합쳐요,세로 방향 병합 속성입니다.,지정한 숫자만큼 가로 방향 셀을 합치는 속성입니다.,표준 속성명이 아닙니다.,정렬 속성입니다.
29,HTML 심화,표에서 셀을 세로로(행 방향) 병합할 때 사용하는 속성은?,colspan,rowspan,height,valign,1,줄(Row)을 합쳐요,가로 방향 병합 속성입니다.,지정한 숫자만큼 세로 방향 셀을 합치는 속성입니다.,높이 속성입니다.,수직 정렬 속성입니다.
30,HTML 심화,사용자로부터 정보를 입력받기 위해 입력 요소들을 감싸는 틀 역할을 하는 태그는?,<input>,<form>,<submit>,<field>,1,종이 서류(Form) 양식과 같아요,개별 입력창 태그입니다.,전체 입력 데이터를 묶어 전송 범위를 정하는 태그입니다.,전송 버튼 타입 이름입니다.,표준 단독 태그가 아닙니다.
31,HTML 심화,<input> 태그에서 비밀번호 입력을 위해 글자를 가려주는 타입(Type)은?,text,hidden,password,secret,2,패스워드(Password) 타입!,글자가 그대로 노출됩니다.,화면에서 아예 숨겨집니다.,입력 글자를 점이나 별표로 가려 보안을 유지합니다.,존재하지 않는 타입입니다.
32,HTML 심화,여러 선택지 중 단 하나만 선택할 수 있게 하는 입력 타입은?,checkbox,radio,button,select,1,라디오 채널처럼 하나만 골라요,중복 선택이 가능합니다.,여러 옵션 중 오직 하나만 선택하게 하는 타입입니다.,일반 버튼입니다.,목록 선택창 태그입니다.
33,HTML 심화,여러 개의 선택지를 중복 선택할 수 있게 하는 입력 타입은?,radio,option,checkbox,multiple,2,체크(Check) 표시를 여러 개 해요,단일 선택용입니다.,목록 항목 태그입니다.,여러 항목을 동시에 체크하여 선택할 수 있는 타입입니다.,다중 선택 가능 속성 이름입니다.
34,HTML 심화,여러 줄의 긴 문장을 입력받을 때 사용하는 태그는?,<input type="text">,<textbox>,<textarea>,<input type="long">,2,넓은 텍스트 영역(Area)을 줘요,한 줄 입력만 가능합니다.,표준 태그가 아닙니다.,긴 문장 입력을 위한 가변 크기 입력창 태그입니다.,표준 타입이 아닙니다.
35,HTML 심화,드롭다운(내려오는 목록) 메뉴를 만들 때 사용하는 태그 조합은?,<ul> - <li>,<select> - <option>,<datalist> - <input>,<form> - <input>,1,셀렉트(Select) 박스를 만들어요,일반 글자 목록입니다.,틀인 select와 개별 항목인 option을 사용하여 만듭니다.,자동완성 목록용입니다.,일반 입력 폼 구조입니다.
36,HTML 심화,클릭하면 폼에 입력한 데이터를 서버로 전송하는 버튼의 타입은?,button,reset,submit,send,2,데이터를 제출(Submit) 해요,기능이 없는 빈 버튼입니다.,입력 내용을 초기화합니다.,폼 데이터를 지정된 주소로 즉시 전송하는 타입입니다.,존재하지 않는 타입입니다.
37,HTML 심화,입력창 옆에 이름을 붙여 클릭 시 해당 입력창으로 포커스가 가도록 연결해주는 태그는?,<span>,<label>,<name>,<caption>,1,이름표(Label)를 붙여줘요,단순 텍스트 묶음입니다.,텍스트 클릭만으로 연결된 입력창을 활성화하는 태그입니다.,속성 명칭입니다.,표 제목 태그입니다.
38,HTML 심화,HTML 문서 내에 주석(코드 설명)을 다는 올바른 기호는?,// 주석,/* 주석 */,<!-- 주석 -->,# 주석,2,화살표 모양의 기호를 써요,JS용 주석입니다.,CSS용 주석입니다.,브라우저가 읽지 않는 HTML 전용 주석 기호입니다.,파이썬용 주석입니다.
39,HTML 심화,웹 페이지의 상단 부분(로고 메뉴 등)을 정의하는 시맨틱 태그는?,<nav>,<section>,<header>,<top>,2,머리(Head) 부분에 해당해요,내비게이션 메뉴 구역입니다.,일반 콘텐츠 구역입니다.,페이지 상단 정체성을 담는 머리글 태그입니다.,표준 태그가 아닙니다.
40,HTML 심화,주요 메뉴나 링크들의 집합(내비게이션)을 나타내는 태그는?,<nav>,<ul>,<menu>,<aside>,0,길을 안내(Navigation) 해줘요,메뉴나 목차 등 이동 링크들을 모아두는 태그입니다.,단순 목록 태그입니다.,툴바용 메뉴 태그입니다.,사이드바용 태그입니다.
41,HTML 심화,웹 페이지의 핵심적인 독립 콘텐츠(뉴스 기사 블로그 포스트 등)를 나타내는 태그는?,<section>,<article>,<main>,<div>,1,독립적인 기사(Article) 조각이에요,주제별 콘텐츠 묶음입니다.,독립적으로 떼어내도 의미가 통하는 콘텐츠용 태그입니다.,문서의 유일한 본문 구역입니다.,의미 없는 빈 박스입니다.
42,HTML 심화,본문 옆에 위치하여 광고나 링크 모음 등 부수적인 정보를 담는 태그는?,<side>,<footer>,<aside>,<margin>,2,옆(Aside)에 비켜나 있어요,표준 태그가 아닙니다.,하단 구역 태그입니다.,메인 흐름 외의 보조 정보를 담는 측면 태그입니다.,여백 속성 명칭입니다.
43,HTML 심화,웹 페이지의 최하단(저작권 정보 연락처 등)을 나타내는 태그는?,<footer>,<bottom>,<end>,<contact>,0,발(Foot)처럼 맨 아래에!,문서 하단 정보를 고정적으로 보여주는 꼬리말 태그입니다.,표준 태그가 아닙니다.,표준 태그가 아닙니다.,표준 태그가 아닙니다.
44,HTML 심화,다음 중 화면 전체 너비를 차지하는 '블록(Block) 요소'가 아닌 것은?,<div>,<p>,<h1>,<span>,3,옆으로 나란히 올 수 있어요,대표적인 구역 나눔 블록입니다.,문단 단위 블록입니다.,제목 단위 블록입니다.,필요한 만큼의 너비만 갖는 대표적 인라인 요소입니다.
45,HTML 심화,텍스트의 일부나 문장 안의 특정 구역을 묶는 대표적인 '인라인(Inline) 요소'는?,<div>,<span>,<ul>,<section>,1,한 줄 안에 쏙 들어가요,전체 너비를 쓰는 블록입니다.,문장 내 일부를 묶어 스타일 등을 주기에 적합한 인라인 태그입니다.,목록형 블록입니다.,구역형 블록입니다.
46,HTML 심화,외부 웹 페이지를 현재 문서 안에 삽입할 때 사용하는 태그는?,<frame>,<iframe>,<embed>,<link>,1,내 페이지 안의 프레임(Frame)!,구버전 기술입니다.,다른 웹 문서를 내 페이지 내부에 창으로 띄우는 태그입니다.,외부 플러그인용입니다.,CSS 연결용입니다.
