번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1 (정답),해설2,해설3,해설4
62,프롬프트 전략,캐릭터 생성 AI에서 결과물의 일관성을 유지하기 위해 활용하는 값은?,파일 용량,Seed(시드) 번호,마우스 클릭 횟수,키보드 입력 속도,1,씨앗이 같으면 결과도 비슷해요,동일한 시드값을 사용하면 AI가 매번 비슷한 화풍이나 캐릭터를 생성합니다.,용량은 결과물의 품질이나 스타일을 결정하지 않습니다.,클릭 횟수는 생성 엔진의 난수 생성에 영향을 주지 않습니다.,입력 속도는 생성물의 일관성과 관련이 없는 물리적 수치입니다.
64,프롬프트 전략,"AI에게 ""단계별로 생각해서 해결해줘""라고 지시하는 기법의 명칭은?",Zero-shot,Chain of Thought(CoT),Prompt Injection,Over-fitting,1,생각의 고리를 만들어줘요,문제를 단계별로 나누어 해결하게 하면 AI의 논리적 추론 능력이 비약적으로 향상됩니다.,예시 없이 바로 묻는 방식으로 복잡한 추론에는 한계가 있습니다.,AI를 속여서 금지된 답변을 이끌어내려는 악의적인 공격 기법입니다.,AI가 학습 데이터에 너무 과하게 맞춰져 유연성이 떨어지는 현상입니다.
65,프롬프트 전략,기존 코드를 보존하면서 특정 기능만 추가하고 싶을 때 적절한 지시는?,"""전부 지우고 새로 짜줘""","""현재 코드를 유지하고 특정 부분에 기능만 추가해줘""","""아무데나 넣어줘""","""알아서 수정해줘""",1,완성된 부분은 건드리지 마요,코드의 안정성을 유지하며 변경 사항만 적용하도록 범위를 한정해 주어야 합니다.,새로 짜면 이미 잘 작동하던 다른 기능이 망가질 가능성이 큽니다.,위치를 명시하지 않으면 코드가 엉뚱한 곳에 삽입되어 버그가 생깁니다.,AI의 판단에 전적으로 맡기면 기존 구조가 크게 변형될 수 있습니다.
66,프롬프트 전략,AI에게 특정 캐릭터나 전문가의 말투를 부여하는 기법은?,패스워드 설정,페르소나(Persona) 부여,데이터 백업,화면 캡처,1,AI에게 역할을 정해주세요,"""너는 10년차 개발자야""와 같은 역할을 주면 답변의 질과 톤이 최적화됩니다.",암호 설정은 보안 영역이며 AI의 말투 조절과는 무관합니다.,데이터 보존을 위한 작업이며 프롬프트 전략은 아닙니다.,화면을 찍는 것만으로는 AI의 역할이 바뀌지 않습니다.
67,프롬프트 전략,멀티모달 프롬프팅(Multimodal Prompting)이란 무엇인가?,영어로만 대화하기,이미지  문서  음성 등 다양한 형식을 함께 입력,여러 개의 채팅창 띄우기,키보드 안 쓰고 코딩하기,1,여러 감각을 함께 써요,텍스트 외에도 시각 정보를 결합하여 AI가 상황을 더 입체적으로 이해하게 돕습니다.,언어의 종류보다는 입력 데이터의 형식이 다양함을 뜻합니다.,창을 많이 띄우는 것과 데이터의 입력 방식은 다릅니다.,입력 방식의 제한이 아니라 데이터의 통합적 활용이 핵심입니다.
69,프롬프트 전략,원하는 답변 형식을 AI에게 학습시키기 위해 몇 가지 예시를 주는 것은?,Zero-shot,Few-shot,Long-shot,No-shot,1,본보기를 보여주는 거예요,예시(Shot)를 제공하면 AI가 사용자의 의도와 형식을 훨씬 정확하게 따릅니다.,예시가 없는 상태로 난이도가 높은 작업 시 정확도가 떨어질 수 있습니다.,영화 촬영 용어이며 프롬프트 엔지니어링 용어가 아닙니다.,프롬프트 기법에서 공식적으로 사용되는 용어가 아닙니다.
71,프롬프트 전략,AI가 복잡한 코드를 한 번에 못 짤 때 사용하는 '모듈화' 지시란?,기능을 작게 쪼개서 하나씩 요청하기,코드를 최대한 길게 짜달라고 하기,주석을 다 지우라고 하기,디자인만 바꾸기,0,작게 나누면 쉬워져요,복잡한 기능을 여러 개의 작은 함수나 파일로 나누어 요청하면 성공률이 높아집니다.,코드가 길어질수록 오류 발생 확률과 끊김 현상이 심해집니다.,주석은 코드 이해를 돕는 도구이므로 지운다고 로직이 개선되진 않습니다.,기능적 모듈화와 디자인 변경은 서로 다른 영역입니다.
73,프롬프트 전략,AI에게 특정 스타일의 코드를 작성하게 하려고 소스 샘플을 넣는 것은?,데이터 레이블링,컨텍스트 인퓨전(Context Infusion),시스템 셧다운,하드웨어 업그레이드,1,맥락을 주입하는 거예요,기존의 코드 스타일이나 규칙을 참고 자료로 주어 일관성을 유지하게 합니다.,데이터에 정답지를 다는 작업으로 프롬프트 주입과는 차이가 있습니다.,전원을 끄는 것과 정보 주입은 무관합니다.,물리적인 부품 교체와 소프트웨어 지시는 다른 영역입니다.
75,프롬프트 전략,AI에게 보안상 위험한 코드를 짜지 말라고 지시하는 시스템 명령은?,가드레일(Guardrail) 설정,배경음악 추가,폰트 크게 하기,창 닫기,0,안전 장치를 설치해요,AI가 비윤리적이거나 위험한 결과를 내놓지 않도록 경계 조건을 설정하는 것입니다.,미적 요소와 보안 지시는 관계가 없습니다.,가독성 향상 기법이며 보안 전략이 아닙니다.,프로그램 종료와 보안 규칙 설정은 다른 개념입니다.
77,프롬프트 전략,AI 답변이 너무 길어 핵심이 안 보일 때 사용할 수 있는 지시는?,"""길게 써줘""","""한 문장으로 요약하거나 불렛포인트로 정리해줘""","""아무 말이나 해줘""","""답변하지 마""",1,요점을 간단히 정리해요,정보의 구조를 요약이나 목록 형태로 지정하면 가독성이 크게 좋아집니다.,이미 긴 답변이 문제인 상황에서 더 길게 쓰는 것은 역효과입니다.,무의미한 정보는 문제 해결에 도움이 되지 않습니다.,소통을 거부하는 지시는 정보를 얻는 목적에 부합하지 않습니다.
79,프롬프트 전략,AI에게 코드를 설명해달라고 할 때 '주석(Comment)'을 달아달라고 하는 이유는?,코드를 숨기기 위해,코드의 각 부분이 어떤 역할을 하는지 사람이 이해하기 위해,실행 속도를 높이기 위해,용량을 줄이기 위해,1,코드의 설명서를 써줘요,주석은 실행에는 영향을 주지 않으면서 사람이 코드를 읽는 데 큰 도움을 줍니다.,주석은 오히려 코드를 드러내고 설명해주는 역할을 합니다.,주석은 컴퓨터가 무시하므로 실행 속도 향상과는 무관합니다.,주석 텍스트만큼 아주 미세하게 용량이 늘어날 수 있지만 무시할 수준입니다.
81,프롬프트 전략,AI에게 특정 라이브러리를 사용하지 말라고 지시하는 기법은?,제약 조건(Constraints) 명시,무조건 허용,칭찬하기,질문 반복하기,0,하지 말아야 할 것을 알려줘요,"""외부 라이브러리 없이 순수 자바스크립트로만 짜줘""처럼 범위를 제한하는 것입니다.",허용만 하는 것은 제약 조건을 거는 것과 반대되는 개념입니다.,감정적 표현은 기술적인 제약 조건을 설정하는 도구가 아닙니다.,같은 말을 반복하는 것보다 명확한 제약 조건을 한 번 주는 게 좋습니다.
83,프롬프트 전략,"AI가 엉뚱한 대답을 할 때 ""내 질문을 이해했니?""라고 묻는 것의 효과는?",AI를 화나게 함,AI가 자신의 이해도를 점검하고 다시 추론하게 함,인터넷을 빠르게 함,키보드 고장 확인,1,다시 한 번 생각하게 해요,질문의 의도를 다시 확인하게 함으로써 논리적 오류를 스스로 바로잡게 유도합니다.,AI는 감정이 없으므로 화를 내지 않습니다.,네트워크 통신 효율과는 관계가 없는 심리적/논리적 유도 기법입니다.,하드웨어 점검과는 아무런 관련이 없습니다.
85,프롬프트 전략,"AI에게 ""초등학생도 이해할 수 있게 설명해줘""라고 지시하는 이유는?",AI를 무시해서,쉬운 용어로 핵심 개념을 파악하기 위해,공부를 안 하려고,시간을 때우려고,1,어려운 내용을 쉽게 풀어줘요,전문 용어 없이 설명하게 하면 복잡한 로직을 직관적으로 이해하는 데 도움이 됩니다.,무시가 아닌 소통의 수준을 맞추기 위한 전략적 지시입니다.,어려운 개념을 쉽게 배워서 더 잘 공부하기 위한 방법입니다.,효율적인 학습을 위한 지시이므로 시간 낭비와는 거리가 멉니다.
87,프롬프트 전략,AI에게 최신 정보를 반영해달라고 할 때 참고 자료로 링크를 주는 것은?,스팸 발송,그라운딩(Grounding) 강화,컴퓨터 해킹,광고 클릭,1,근거를 제공해주는 거예요,AI의 내장 지식 한계를 보완하기 위해 신뢰할 수 있는 외부 정보를 제공하는 것입니다.,정보를 제공하는 것은 스팸 활동과 전혀 다릅니다.,허용된 범위 내에서 자료를 주는 것은 해킹이 아닌 협업입니다.,학습을 위한 정보 공유이지 광고 수익을 위한 클릭 유도가 아닙니다.
89,프롬프트 전략,"AI와 대화 중 ""너의 이전 답변에서 ~부분만 수정해줘""라고 하는 지시의 장점은?",AI가 다시 처음부터 생각하게 함,이전 맥락을 유지하며 필요한 부분만 효율적으로 고침,AI가 답변을 거부하게 함,대화 기록을 삭제함,1,바뀐 부분만 집중 공략!,전체를 새로 짤 때 발생할 수 있는 새로운 버그를 방지하고 시간을 아낍니다.,처음부터 다시 생각하게 하는 것보다 효율적인 점진적 개선 방식입니다.,명확한 피드백은 AI가 더 기꺼이 답변하게 만듭니다.,대화 기록을 지우는 것이 아니라 오히려 기록을 적극 활용하는 방식입니다.
