번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
31,바이브 코딩,바이브 코딩(Vibe Coding)의 핵심 철학으로 옳은 것은?,"어떻게 구현할 것인가(How)"에 집중한다.,"무엇을 만들고 싶은가(What)"에 집중한다.,프로그래밍 문법을 완벽히 마스터한 후에 시작한다.,AI에게 모든 판단을 전적으로 맡기고 검토하지 않는다.,1,아이디어의 본질이 중요해요,전통적인 방식은 구현 방법(How)에 집중합니다.,바이브 코딩은 구현보다 창작의 의도와 가치(What)를 중시합니다.,문법 숙달보다 AI와의 협업 소통 능력이 더 중요합니다.,최종 검토와 승인은 반드시 인간 디렉터가 해야 합니다.
32,바이브 코딩,바이브 코딩 과정에서 AI가 프로그램을 제대로 만들었는지 확인하고 오류를 수정하는 단계는?,기획,디렉팅,컨펌,가이드라인 설정,2,제대로 됐는지 도장을 쾅 찍어줘요,만들 대상을 정의하는 초기 단계입니다.,AI에게 구체적으로 지시하는 단계입니다.,AI의 결과물을 검토하고 최종 승인하는 필수 과정입니다.,개발 환경이나 규칙을 미리 약속하는 단계입니다.
33,바이브 코딩,프롬프트로 프로그램 제작이 가능한 대표적인 도구가 아닌 것은?,Cursor,Replit Agent,Bolt.new,Photoshop,3,그림 그릴 때 쓰는 도구는 아니에요,가장 널리 쓰이는 AI 기반 코드 에디터입니다.,대화형 앱 개발 에이전트 서비스입니다.,풀스택 웹 앱을 즉석에서 생성하는 도구입니다.,이미지 편집 도구이며 코드 생성 전문 도구는 아닙니다.
34,바이브 코딩,바이브 코딩에서 기획 단계의 핵심 활동으로 적절한 것은?,직접 C언어 문법을 암기한다.,만들고 싶은 프로그램의 목적과 핵심 기능을 자연어로 정리한다.,서버 사양을 직접 조립한다.,코드를 한 줄씩 손으로 받아 적는다.,1,무엇을 만들지 글로 써보세요,문법 암기보다는 기획력이 중요합니다.,목적과 기능을 명확히 해야 AI가 정확한 코드를 짭니다.,인프라 구축은 바이브 코딩 기획의 본질과 거리가 있습니다.,타이핑은 AI에게 맡기는 영역입니다.
35,바이브 코딩,AI에게 코딩을 시킬 때 더 정확한 결과를 얻기 위해 구체적으로 상황을 설명하는 기법은?,프롬프트 엔지니어링,데이터 마이닝,하드웨어 최적화,그래픽 디자인,0,AI에게 말을 잘 거는 방법이에요,최선의 답변을 얻기 위해 지시문을 전략적으로 구성하는 기술입니다.,데이터 속 지식을 찾는 기술입니다.,장치 성능을 높이는 작업입니다.,시각적 요소를 만드는 작업입니다.
36,바이브 코딩,"반복적인 피드백(Iterative Feedback)"의 중요성은?,한 번의 요청으로 완벽한 코드가 나오기 때문,AI와 소통하며 점진적으로 기능을 완성하고 오류를 잡기 위함,AI의 작업 속도를 늦추기 위함,아무런 의미가 없다.,1,조금씩 고쳐가며 완성해요,단번에 성공하기 어려우므로 꾸준한 대화로 다듬어야 합니다.,한 번에 완벽한 코드가 나오기는 매우 어렵습니다.,피드백은 품질 향상을 위한 생산적인 과정입니다.,바이브 코딩 성패를 결정하는 매우 중요한 요소입니다.
37,바이브 코딩,Cursor 에디터에서 프로젝트 전체 문맥을 이해하고 코드를 제안하는 핵심 기능의 이름은?,Composer,Calculator,Calendar,Cleaner,0,여러 파일을 한 번에 고쳐줘요,프로젝트 전체 의도를 파악해 일괄 수정해주는 강력한 기능입니다.,단순 계산용 도구입니다.,일정 관리용 도구입니다.,정리 도구일 뿐 코드 생성과는 무관합니다.
38,바이브 코딩,바이브 코딩 중 AI가 작성한 코드에 오류가 발생했을 때 가장 먼저 해야 할 행동은?,코딩 공부를 처음부터 다시 한다.,발생한 에러 메시지를 복사하여 AI에게 전달하고 수정을 요청한다.,컴퓨터를 끈다.,오류를 무시하고 계속 진행한다.,1,에러 내용을 AI에게 보여주세요,에러 메시지에 해결책이 있는 경우가 많아 AI에게 알려주면 고쳐줍니다.,공부도 좋지만 즉각적인 해결책은 AI 활용입니다.,문제 해결에 도움이 되지 않는 회피 행동입니다.,오류를 방치하면 프로그램이 작동하지 않습니다.
39,바이브 코딩,AI 코딩 도구를 사용할 때 '문맥(Context)'을 제공한다는 것의 의미는?,현재 작성 중인 파일 관련 문서 라이브러리 정보 등을 AI가 참고하게 하는 것,배경 음악을 트는 것,글꼴 크기를 키우는 것,모니터 밝기를 조절하는 것,0,지금 상황을 AI에게 알려주는 거예요,AI가 정확한 코드를 짤 수 있도록 관련 정보를 알려주는 행위입니다.,작업 분위기와 AI의 지능적 결과는 무관합니다.,시각적 편의 요소일 뿐입니다.,하드웨어 설정 요소일 뿐입니다.
40,바이브 코딩,바이브 코딩에서 인간의 역할이 "코더(Coder)"에서 "디렉터(Director)"로 변했다는 것은 무엇을 의미하는가?,직접 타이핑하는 시간보다 의사결정과 기획 검토에 더 집중함,코딩을 아예 안 배운다는 뜻,AI에게 모든 권한을 넘기고 잠을 잔다는 뜻,하드웨어 부품을 관리한다는 뜻,0,영화 감독처럼 지시를 내려요,구현은 AI에게 맡기고 인간은 방향 설정과 가치 판단을 수행합니다.,최소한의 이해와 역량은 여전히 필요합니다.,최종 검토와 승인은 디렉터의 책임입니다.,엔지니어링 영역의 업무입니다.
