번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1 (정답),해설2,해설3,해설4
91,기술 실무,이미지를 텍스트 코드로 변환하여 HTML 파일 안에 직접 포함시키는 기술은?,CSV 인코딩,Base64 인코딩,JSON 변환,URL 단축,1,파일 누락을 방지해요,이미지를 문자열로 바꾸어 별도의 이미지 파일 없이도 화면에 표시하게 합니다.,쉼표로 데이터를 구분하는 텍스트 형식일 뿐 이미지 변환 기술은 아닙니다.,데이터를 주고받는 형식이지 이미지를 텍스트화하는 표준 인코딩은 아닙니다.,주소를 줄이는 기술이며 이미지 데이터 자체를 포함하진 않습니다.
92,기술 실무,브라우저를 닫아도 데이터가 삭제되지 않고 유지되는 저장소는?,RAM,Session Storage,Local Storage,CPU Cache,2,컴퓨터에 물리적으로 남아요,로컬 스토리지는 사용자가 직접 지우기 전까지 데이터를 반영구적으로 보관합니다.,전원이 꺼지거나 프로그램이 종료되면 데이터가 사라지는 휘발성 메모리입니다.,브라우저 탭을 닫으면 데이터가 함께 사라지는 임시 저장소입니다.,하드웨어 성능 향상을 위한 임시 저장소로 앱 데이터를 보존하지 않습니다.
93,기술 실무,CSV(Comma Separated Values) 파일의 가장 큰 특징은?,화려한 디자인 저장,쉼표( )를 기준으로 데이터를 구분하는 텍스트 형식,동영상 전송 최적화,실행 파일 생성,1,엑셀과 호환되는 텍스트예요,표 형태의 데이터를 텍스트로 저장하여 엑셀이나 메모장에서 쉽게 읽을 수 있습니다.,CSV는 디자인 정보를 포함할 수 없는 순수 데이터 형식입니다.,텍스트 기반이므로 멀티미디어 전송에는 적합하지 않습니다.,데이터 저장용 파일이며 직접 실행되는 프로그램 파일은 아닙니다.
94,기술 실무,개인정보나 비밀 내용을 읽을 수 없는 형태로 변환하는 과정은?,복사(Copy),암호화(Encryption),붙여넣기(Paste),정렬(Sort),1,열쇠(Key)가 있어야 읽어요,승인되지 않은 사람이 내용을 알 수 없도록 데이터를 코드로 잠그는 기술입니다.,데이터를 복제하는 기능이며 보안과는 무관합니다.,복제된 데이터를 입력하는 기능일 뿐 보안 기술이 아닙니다.,데이터의 순서를 바꾸는 것이지 내용을 숨기는 것이 아닙니다.
95,기술 실무,HTML에서 그래픽이나 게임 화면을 실시간으로 그리는 '도화지' 요소는?,Table,Canvas,Section,Header,1,자바스크립트로 그림을 그려요,<canvas> 요소를 사용하면 코드를 통해 자유로운 드로잉과 애니메이션이 가능합니다.,표 형태의 레이아웃을 잡는 요소로 그래픽 드로잉과는 무관합니다.,문서의 구역을 나누는 의미론적 태그입니다.,문서의 상단 부분을 정의하는 태그입니다.
96,기술 실무,이미지를 Base64로 인코딩했을 때 발생하는 현상은?,용량이 원본보다 약 33% 증가,화질이 눈에 띄게 개선됨,소리가 추가됨,흑백으로 변함,0,편리함 대신 용량을 써요,8비트 이진 데이터를 64개 문자로 바꾸는 과정에서 데이터 크기가 늘어납니다.,데이터 표현 방식의 변화일 뿐 원본 이상의 화질을 만들어내지 않습니다.,이미지 데이터 변환 기술이며 오디오 합성 기술이 아닙니다.,색상 정보는 그대로 유지됩니다.
97,기술 실무,브라우저 보안 정책(CORS)에 의해 제약받는 행동은?,마우스 클릭,사용자 허가 없이 다른 사이트의 자원을 마음대로 가져오기,키보드 한글 입력,화면 밝기 조절,1,보안을 위한 약속이에요,악의적인 사이트가 다른 사이트의 데이터를 훔치는 것을 막는 중요한 보안 정책입니다.,사용자의 입력 장치 제어와는 관련이 없는 네트워크 보안 정책입니다.,언어 입력 설정은 브라우저 보안 정책의 영역이 아닙니다.,하드웨어 제어는 운영체제나 브라우저 설정 영역입니다.
98,기술 실무,데이터 전송 표준으로 자주 쓰이는 JSON(JavaScript Object Notation)의 특징은?,그림판 파일 형식,사람과 기계 모두 읽기 쉬운 텍스트 기반 데이터 형식,바이러스 검사기,하드디스크 포맷 도구,1,{키:값} 구조로 되어있어요,가볍고 구조화되어 있어 현대 웹 서비스에서 데이터를 주고받는 표준입니다.,이미지가 아닌 데이터 구조를 정의하는 형식입니다.,보안 소프트웨어가 아닌 데이터 표현 규약입니다.,저장 매체를 초기화하는 물리적 작업과 무관합니다.
99,기술 실무,자바스크립트 객체를 로컬 스토리지에 저장하기 위해 문자열로 바꾸는 함수는?,JSON.parse(),JSON.stringify(),Math.random(),console.log(),1,저장 가능한 텍스트로 변신!,로컬 스토리지는 텍스트만 저장할 수 있으므로 객체를 문자열화해야 합니다.,문자열 데이터를 다시 자바스크립트 객체로 되돌리는 함수입니다.,무작위 숫자를 생성하는 수학 함수입니다.,정보를 화면(콘솔)에 출력하는 디버깅용 함수입니다.
100,기술 실무,웹 페이지의 구조와 뼈대를 정의하는 언어는?,CSS,HTML,JavaScript,Python,1,건물의 골격과 같아요,웹 페이지에 들어갈 제목  본문  이미지 등의 요소를 배치하는 기초 언어입니다.,뼈대에 색을 입히고 디자인을 담당하는 언어입니다.,웹 페이지에 움직임과 기능을 부여하는 언어입니다.,서버나 데이터 분석 등에 주로 쓰이는 범용 프로그래밍 언어입니다.
