번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
1,개념 이해형,다음 중 생성형 AI(Generative AI)에 대한 설명으로 가장 적절한 것은?,데이터를 단순히 분류하고 인식하는 데 그친다.,기존 데이터를 바탕으로 새로운 텍스트 이미지 영상 등을 만들어낸다.,미리 입력된 명령어에만 반응하는 단순 자동화 기계이다.,인터넷 연결 없이 하드웨어적으로만 작동하는 인공지능이다.,1,새로운 것을 만들어내는 능력이 핵심이에요,데이터를 분류하고 인식하는 것은 판별 AI의 영역입니다.,생성형 AI는 학습한 데이터를 바탕으로 독창적인 결과물을 생성합니다.,단순 자동화를 넘어 복잡한 맥락과 창의적 작업을 수행합니다.,대규모 서버를 활용하는 클라우드 기반으로 작동합니다.
2,개념 이해형,'TV 시대 -> 유튜브 시대 -> AI 시대'로의 변화 중 AI 시대의 핵심 키워드는?,일방향 전달,쌍방향 소통,창작의 자동화 및 협업,수동적 소비,2,누구나 창작자가 될 수 있는 시대예요,과거 TV 시대의 특징입니다.,SNS와 유튜브 시대의 특징입니다.,AI와 협업하여 누구나 쉽고 빠르게 창작하는 것이 핵심입니다.,과거 미디어 소비 행태를 뜻합니다.
3,개념 이해형,여러 가지 형태(텍스트 이미지 음성 등)의 데이터를 복합적으로 처리하는 모델을 무엇이라 하는가?,싱글모달,멀티모달,바이모달,하이브리드모달,1,여러 가지 양식을 가졌다는 뜻이에요,한 가지 형태의 데이터만 처리하는 방식입니다.,텍스트 이미지 음성 등 다양한 양식을 동시에 처리하는 모델입니다.,일반적으로 사용되지 않는 용어입니다.,일반적으로 사용되지 않는 용어입니다.
4,개념 이해형,인간의 지능을 모방하여 컴퓨터가 스스로 학습하고 판단하게 하는 기술을 통칭하는 용어는?,클라우드 컴퓨팅,인공지능(AI),블록체인,빅데이터,1,컴퓨터에게 지능을 주는 기술이에요,서버 자원을 빌려 쓰는 기술입니다.,인간의 인지 능력을 소프트웨어로 구현한 전체 기술을 뜻합니다.,데이터를 분산 저장하는 기술입니다.,방대한 양의 데이터 그 자체를 의미합니다.
5,개념 이해형,기계가 사람인지 아닌지 판별하기 위해 대화를 나누어 보는 테스트의 이름은?,튜링 테스트,알파고 테스트,로르샤흐 테스트,벤치마킹 테스트,0,컴퓨터 과학의 아버지 앨런 튜링의 이름이에요,기계가 인간과 구별되지 않는 지능을 가졌는지 측정하는 방법입니다.,바둑 AI 알파고의 이름에서 딴 가상의 명칭입니다.,심리 투사 검사의 일종입니다.,성능 비교 측정을 의미하는 용어입니다.
6,개념 이해형,인공지능의 하위 분야로 데이터를 통해 기계가 스스로 학습하는 기술은?,머신러닝(Machine Learning),하드웨어 코딩,데이터베이스 관리,네트워크 보안,0,기계가 스스로 배운다는 뜻이에요,데이터 패턴을 분석하여 스스로 예측 성능을 높이는 기술입니다.,기계 장치를 직접 제어하는 프로그래밍입니다.,데이터를 효율적으로 운영하는 관리 기술입니다.,정보 유출을 방지하는 기술입니다.
7,개념 이해형,인간의 뇌 신경세포 구조를 모방한 인공지능 학습 모델은?,의사결정나무,선형 회귀,인공신경망(Neural Network),관계형 모델,2,뇌의 뉴런 구조를 닮았어요,통계 기반의 분류 모델입니다.,데이터 간의 직선적 상관관계를 분석하는 방식입니다.,뇌의 뉴런 구조를 본떠 정보를 처리하는 모델입니다.,데이터베이스 설계 방식 중 하나입니다.
8,개념 이해형,인공신경망을 여러 층으로 쌓아 복잡한 데이터를 학습하는 기술은?,딥러닝(Deep Learning),얕은 학습,단순 자동화,수동 입력,0,신경망을 깊게 쌓는다는 의미예요,신경망의 층을 깊게 쌓아 고차원적인 기능을 수행하는 기술입니다.,신경망 층이 적거나 단순한 머신러닝 기법입니다.,학습 과정이 없는 단순한 방식입니다.,사용자가 일일이 입력하는 방식입니다.
9,개념 이해형,정답(Label)이 포함된 데이터를 학습시켜 결과를 예측하게 하는 학습 방식은?,지도 학습,비지도 학습,강화 학습,전이 학습,0,선생님이 정답을 알려주는 것과 같아요,문제와 정답을 함께 제공하여 관계를 배우게 하는 방식입니다.,정답 없이 데이터 자체의 패턴을 찾습니다.,보상을 통해 행동을 최적화하는 학습 방식입니다.,기존 학습 결과를 다른 작업에 재사용하는 방식입니다.
10,개념 이해형,정답이 없는 데이터에서 데이터 간의 유사성이나 패턴을 스스로 찾아내는 학습 방식은?,지도 학습,비지도 학습,강화 학습,전이 학습,1,스스로 특징을 찾아내는 방식이에요,반드시 정답(Label)이 필요한 방식입니다.,정답 없이 데이터의 숨겨진 구조나 군집을 찾습니다.,보상을 통해 배우는 게임 AI 방식입니다.,학습 결과의 재활용에 중점을 둡니다.
