번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1 (정답),해설2,해설3,해설4
121,윤리/저작권,현재 법적 관점에서 AI가 '단독으로' 생성한 결과물에 대한 저작권 주체는?,AI 모델 개발사,AI 소프트웨어 그 자체,원칙적으로 저작권 인정이 어렵거나 논쟁 중,전기 공급 회사,2,인간의 창조적 노력이 필요해요,현재 대부분의 국가에서 저작물은 '인간의 사상과 감정의 표현'이어야 한다고 봅니다.,개발사는 도구를 제공한 것이지 결과물의 저작권자가 아닙니다.,기계나 동물은 법적으로 저작권을 가질 수 있는 주체가 아닙니다.,인프라 제공자와 창작물은 아무런 관련이 없습니다.
122,윤리/저작권,AI 창작물에서 '인간의 기여도'를 증명하기 위한 가장 좋은 자료는?,컴퓨터 구매 영수증,기획안 및 프롬프트 수정 히스토리 기록,마우스 클릭 횟수 기록,모니터 화면 크기,1,내가 고민한 흔적을 남기세요,인간이 어떤 의도를 가지고 AI를 디렉팅했는지 보여주는 과정이 저작권의 근거가 됩니다.,도구 구매 이력은 창의적 기여도를 증명하지 못합니다.,단순한 물리적 노동은 창조적 기여도로 인정받기 어렵습니다.,하드웨어 사양은 창작물의 저작권과 관계가 없습니다.
123,윤리/저작권,타인의 독특한 화풍이나 스타일을 AI로 복제해 판매할 때 발생하는 문제는?,기술력 과시 효과,저작권 침해 논란 및 윤리적 책임 문제,인터넷 속도 향상,파일 용량 축소,1,작가의 노력을 존중해야 해요,원작자의 고유한 화풍을 무단으로 복제하는 행위는 도의적  법적 갈등을 빚을 수 있습니다.,도용 행위는 긍정적인 기술력으로 평가받지 못합니다.,저작권 문제와 네트워크 성능은 아무런 상관이 없습니다.,윤리적 문제와 데이터 압축은 무관한 영역입니다.
124,윤리/저작권,생성형 AI가 편향된(Bias) 정보를 출력할 수 있는 근거는?,AI의 인격이 나빠서,학습 데이터에 담긴 인간의 편견이 반영되어,컴퓨터 사양이 낮아서,전기가 부족해서,1,배운 대로 말하는 거예요,AI는 인터넷상의 방대한 데이터를 학습하며  그 속의 편견까지 학습할 수 있습니다.,AI는 인격이나 감정이 없는 알고리즘일 뿐입니다.,모델의 지능이나 사양 문제보다는 데이터 품질의 문제입니다.,물리적 에너지는 답변의 논리적 편향성과 무관합니다.
125,윤리/저작권,AI로 만든 콘텐츠를 배포할 때 가장 투명한 방법은?,내가 다 그렸다고 거짓말하기,AI가 생성하고 인간이 수정했음을 명시하기,출처를 숨기기,유료로만 판매하기,1,솔직한 공개가 신뢰를 쌓아요,사용자가 AI 결과물임을 인지하게 하는 것이 신뢰받는 크리에이터의 자세입니다.,허위 사실 유포는 향후 저작권 분쟁 시 불리하게 작용합니다.,출처 은폐는 정보의 투명성과 창작 윤리에 어긋납니다.,수익 모델의 유무보다 투명한 정보 공개가 우선입니다.
126,윤리/저작권,AI 모델이 유료 오픈소스 코드를 무단 학습했을 때의 논쟁점은?,전력 낭비 문제,데이터 사용에 대한 정당한 보상 및 권리 침해,글자 크기 문제,답변 속도 지연,1,데이터에도 주인이 있어요,창작자의 노력이 들어간 데이터를 AI 학습에 쓸 때의 저작권 가이드라인이 쟁점입니다.,데이터 학습은 전력 문제보다 지식재산권 보호가 더 큰 이슈입니다.,시각적 디자인 요소와 데이터 저작권은 무관합니다.,기술적 성능보다는 권리 관계에 대한 논의가 핵심입니다.
127,윤리/저작권,타인의 얼굴을 허락 없이 합성하는 '딥페이크(Deepfake)'의 윤리적 문제는?,화질이 너무 좋음,초상권 침해 및 범죄 악용 가능성,배경음악의 부재,용량 초과,1,타인의 권리를 침해하지 마세요,동의 없는 합성은 개인의 인격권을 심각하게 침해하며 범죄로 이어질 수 있습니다.,화질의 높고 낮음은 윤리적 문제의 본질이 아닙니다.,사운드 요소와 인격권 침해 문제는 별개의 사안입니다.,데이터 크기는 윤리적 판단의 기준이 되지 않습니다.
128,윤리/저작권,AI 시대의 '디지털 시민의식'으로 가장 적절한 태도는?,AI가 하는 말은 무조건 믿기,AI의 답변을 비판적으로 수용하고 검증하기,코딩을 아예 거부하기,AI에게 욕설하기,1,비판적 사고가 필요해요,AI가 틀릴 수 있음을 인지하고 정보의 출처와 사실 여부를 확인해야 합니다.,맹목적인 믿음은 허위 정보 확산의 원인이 됩니다.,기술을 거부하는 것보다 올바르게 활용하는 법을 배우는 게 중요합니다.,감정이 없는 AI에게 욕설하는 것은 의미가 없으며 비윤리적 태도입니다.
129,윤리/저작권,AI가 생성한 코드를 내 상업 프로젝트에 쓸 때 확인해야 할 사항은?,AI의 목소리 톤,포함된 라이브러리의 오픈소스 라이선스 규정,모니터 해상도,키보드 제조사,1,라이선스 규정을 꼭 확인하세요,AI가 제안한 코드에 특정 라이선스(MIT  GPL 등)가 걸려있는지 확인해야 합니다.,답변의 어조는 저작권이나 법적 사용 허가와 무관합니다.,하드웨어 사양은 소프트웨어 라이선스 준수와 관계가 없습니다.,입력 장치 정보는 법적 권리 관계 확인에 필요하지 않습니다.
130,윤리/저작권,바이브 코딩 교육에서 '인간의 주체성'이 강조되는 이유는?,AI가 일을 안 해서,AI는 도구일 뿐  목적과 가치는 인간이 결정하기 때문,컴퓨터 전원을 켜야 해서,타자가 중요해서,1,결정은 사람이 하는 거예요,AI가 생성한 결과물을 어디에 어떻게 쓸지 판단하는 책임은 인간에게 있습니다.,AI의 업무 수행 능력보다는 '방향성 결정'의 주체를 강조하는 것입니다.,물리적 조작보다 기획과 철학적 결정이 더 중요하다는 뜻입니다.,바이브 코딩은 타자 실력보다 디렉팅 능력을 중시합니다.
131,윤리/저작권,AI 창작물에 대한 저작권을 인정받기 위해 필요한 '창작적 기여'란?,단순히 버튼만 누르는 것,프롬프트를 통한 구체적인 설계와 세밀한 수정 과정,컴퓨터 앞에 앉아 있는 시간,전기를 많이 사용하는 것,1,나의 생각이 담겨야 해요,AI를 도구로 활용해 나만의 독창적인 아이디어를 구현한 과정이 포함되어야 합니다.,선택만 하는 행위는 창의적 기여로 인정받기 매우 어렵습니다.,물리적 대기 시간은 창조적 행위로 간주되지 않습니다.,자원 소모량은 예술적  지적 가치와 비례하지 않습니다.
132,윤리/저작권,오픈소스 라이선스 중 'MIT 라이선스'의 주요 특징은?,절대로 배포 금지,매우 자유로운 사용과 출처 표기 권장,무조건 유료 판매,코드 수정 금지,1,자유로운 활용이 장점이에요,저작권 고지만 하면 상업적 이용이나 수정 배포가 매우 자유로운 라이선스입니다.,MIT 라이선스는 배포를 적극적으로 허용합니다.,무료로 공개된 소스이며 상업적 이용도 가능하지만 판매가 의무는 아닙니다.,수정과 가공이 자유로운 대표적인 허용적 라이선스입니다.
133,윤리/저작권,AI 생성 이미지를 공모전에 제출할 때 가장 올바른 태도는?,끝까지 AI 사용을 숨긴다,공모전 가이드라인에 따른 AI 활용 여부를 명확히 밝힌다,내가 직접 그린 것처럼 서명한다,친구의 이름을 빌린다,1,규칙 준수가 기본이에요,주최측의 규정에 따라 AI 도구 사용 범위를 공개하고 정직하게 응모해야 합니다.,허위 신고는 나중에 수상이 취소되거나 법적 문제를 일으킬 수 있습니다.,위조된 서명은 도덕적 결함일 뿐만 아니라 저작권 사기가 될 수 있습니다.,타인 명의 도용은 심각한 부정행위입니다.
134,윤리/저작권,AI 모델의 학습 데이터에서 '개인정보'가 유출되지 않도록 하는 기술은?,색상 변경,데이터 익명화 및 비식별화 처리,글자 폰트 변경,화면 캡처 방지,1,누구인지 모르게 가려요,이름  주소 등 개인을 특정할 수 있는 정보를 제거하거나 암호화하는 작업입니다.,시각적 스타일 변경은 데이터 보안 기술이 아닙니다.,텍스트의 모양을 바꾸는 것은 데이터 내용 보안과 무관합니다.,캡처 방지는 단순 보안책일 뿐 원본 데이터의 비식별화 기술은 아닙니다.
135,윤리/저작권,AI를 활용해 타인을 비하하거나 혐오하는 표현을 만드는 행위는?,창작의 자유,명백한 윤리 위배 및 서비스 이용 약관 위반,기술적 실험,유머 감각,1,기술을 나쁘게 쓰면 안 돼요,대다수의 AI 서비스는 혐오 표현 생성을 금지하며 이는 사회적 책임의 영역입니다.,자유에는 타인의 권리를 침해하지 않을 책임이 따릅니다.,해로운 콘텐츠 생성은 기술적 가치가 없는 단순 악용입니다.,혐오와 차별은 유머가 아닌 폭력이 될 수 있습니다.
136,윤리/저작권,AI가 생성한 답변이 사실인지 확인하기 위해 여러 곳을 대조하는 것은?,시간 낭비,교차 검증(Cross-check),AI 불신,컴퓨터 포맷,1,돌다리도 두드려보고 건너기,정보의 정확성을 위해 신뢰할 수 있는 다른 출처들과 비교 확인하는 과정입니다.,정확한 정보를 얻기 위한 필수적인 과정이지 낭비가 아닙니다.,불신이 아니라 도구의 한계를 이해하고 보완하는 현명한 태도입니다.,시스템 초기화와 정보 검증은 완전히 다른 영역입니다.
137,윤리/저작권,생성형 AI의 저작권 논의에서 '공정 이용(Fair Use)'이란 무엇인가?,무조건 공짜로 쓰는 것,저작권자의 허락 없이도 교육  비평 등을 위해 제한적으로 사용하는 원칙,남의 것을 내 것이라 우기는 것,모든 데이터를 삭제하는 것,1,법으로 허용된 예외 범위,저작물의 통상적인 이용과 충돌하지 않는 범위 내에서 허용되는 사용 원칙입니다.,공정 이용은 법적 근거가 있어야 하며 무조건적인 무료 사용이 아닙니다.,권리 주장을 거짓으로 하는 것과는 정반대의 개념입니다.,데이터 보호를 위한 사용 원칙이지 삭제 규칙이 아닙니다.
138,윤리/저작권,AI 학습을 거부할 권리인 'Opt-out' 제도의 취지는?,인터넷 사용 금지,창작자가 자신의 저작물이 AI 학습에 쓰이지 않도록 선택할 권리 보호,유료 결제 강요,속도 제한,1,내 작품은 학습시키지 마세요,창작자의 의사를 존중하여 AI 데이터셋에서 제외될 수 있는 권리를 부여하는 것입니다.,인터넷 접속 권한과는 무관한 데이터 권리 제도입니다.,서비스 비용 문제보다는 데이터 주권에 대한 문제입니다.,시스템 성능과는 관계가 없는 정책적 권리입니다.
139,윤리/저작권,AI 제작 콘텐츠의 '디지털 워터마크'가 하는 역할은?,디자인 꾸미기,AI로 생성된 결과물임을 식별할 수 있는 암호 정보 삽입,용량 늘리기,해킹 도구,1,출처를 투명하게 표시해요,눈에 보이지 않더라도 AI 생성물임을 확인할 수 있게 하여 오남용을 방지합니다.,미적 가치를 높이기 위한 장식 요소가 아닙니다.,워터마크 데이터는 매우 작아 전체 용량에 큰 영향을 주지 않습니다.,콘텐츠 보호와 식별을 위한 장치이지 공격용 도구가 아닙니다.
140,윤리/저작권,AI를 활용한 교육 환경에서 가장 지켜야 할 윤리는?,AI에게 숙제 대신 시키기,AI를 문제 해결의 보조 도구로 삼아 자기 주도적으로 학습하기,AI 답변 그대로 복사하기,공부 포기하기,1,AI는 선생님이자 조력자예요,AI는 생각의 도구일 뿐  실제 학습과 성장은 자신의 노력이 들어가야 합니다.,스스로 생각하지 않고 답만 베끼는 것은 학습에 도움이 되지 않습니다.,복사하기는 창의력과 문제 해결 능력을 저해하는 행위입니다.,기술 발달은 공부를 포기하게 하는 것이 아니라 더 넓게 공부하게 돕습니다.
141,윤리/저작권,AI가 만든 영상에서 실존 인물과 똑같은 목소리를 생성할 때 필요한 절차는?,몰래 만들기,해당 인물의 명확한 동의 획득,그냥 쓰기,외국어로 변환하기,1,목소리도 소중한 권리예요,음성권과 인격권 보호를 위해 당사자의 허락이 반드시 필요합니다.,무단 도용은 법적 처벌이나 도덕적 비난의 대상이 됩니다.,동의 없는 사용은 명백한 권리 침해입니다.,언어를 바꾼다고 해서 고유한 목소리의 권리가 사라지지 않습니다.
142,윤리/저작권,할루시네이션(환각)' 현상을 인지하지 못하고 배포했을 때의 책임은?,AI 개발사 책임,최종 배포자인 인간 개발자(사용자)의 책임,인터넷 공급자 책임,전기 회사 책임,1,검토하지 않은 사람의 책임!,AI는 도구일 뿐이므로 그 도구의 결과물을 확인하고 배포한 인간에게 책임이 있습니다.,개발사는 경고 문구를 통해 사용자의 검토를 요청하고 있습니다.,네트워크 연결은 콘텐츠의 내용적 진위와 무관합니다.,에너지는 물리적 수단일 뿐 정보의 정확성을 책임지지 않습니다.
143,윤리/저작권,생성형 AI의 '설명 가능한 AI(XAI)' 기술이 중요한 이유는?,AI가 왜 그런 답변을 냈는지 인간이 이해하고 신뢰하기 위해,AI가 말을 더 잘하게 하려고,화려한 그래픽을 위해,무료 사용을 위해,0,이유를 알아야 믿을 수 있죠,AI의 판단 근거를 투명하게 공개하여 안전성과 공정성을 확보하기 위함입니다.,유창성보다는 판단의 '논리적 투명성'에 집중하는 기술입니다.,시각적 디자인이 아닌 내부 로직의 투명성 강화 기술입니다.,기술의 철학적  안전적 측면이며 비용과는 직접 관련이 없습니다.
144,윤리/저작권,바이브 코딩으로 만든 앱의 코드를 공개할 때 지켜야 할 예절은?,AI가 짠 부분은 모두 숨기기,사용한 AI 모델과 주요 프롬프트 정보를 함께 공유하기,내 이름만 크게 쓰기,아무 설명 없이 코드만 올리기,1,함께 배우고 성장해요,어떤 도구와 지시로 만들었는지 공유하면 공동체의 기술적 성장에 기여합니다.,협업의 과정을 투명하게 공개하는 것이 바이브 코딩의 문화입니다.,혼자만의 성과가 아님을 인정하는 것이 정직한 자세입니다.,친절한 설명은 다른 학습자들에게 큰 배움의 기회가 됩니다.
145,윤리/저작권,AI 생성물에 저작권자가 '인간'으로 등록되기 위한 핵심 요건은?,컴퓨터 사양이 높아야 함,인간의 창조적 기여(Creative Contribution)가 입증되어야 함,돈을 많이 벌어야 함,유명한 사람이어야 함,1,사람이 직접 지휘해야 해요,단순히 생성 버튼만 누른 것이 아니라 구체적인 디렉팅과 수정이 있어야 합니다.,하드웨어 성능은 법적 창작성 인정과 무관합니다.,수익 창출 여부는 저작권 발생의 근거가 아닙니다.,저작권은 유명세와 관계없이 창작을 수행한 사람에게 부여됩니다.
