번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
151,윤리/저작권,AI가 그럴듯한 거짓말을 하는 현상을 뜻하는 용어는?,딥페이크,할루시네이션(Hallucination),알고리즘,데이터 편향,1,AI가 헛것을 본다는 뜻이에요,가짜 영상 제작 기술입니다.,학습 데이터에 없는 내용을 마치 사실처럼 당당하게 생성하는 오류 현상입니다.,문제 해결을 위한 단계적 절차입니다.,데이터가 한쪽으로 치우친 상태입니다.
152,윤리/저작권,타인의 얼굴을 합성하여 가짜 영상을 만드는 기술은?,딥페이크(Deepfake),업스케일링,렌더링,크롤링,0,가짜(Fake) 얼굴을 입혀요,인물의 신체 부위를 정교하게 합성하여 조작된 영상을 만드는 기술입니다.,화질을 높이는 작업입니다.,이미지나 영상을 완성하는 단계입니다.,데이터를 자동으로 긁어모으는 행위입니다.
153,윤리/저작권,AI 생성물을 저작물로 인정받기 위한 핵심 조건은?,AI 모델의 성능,인간의 창작적 기여 정도,생성된 파일의 용량,사용된 컴퓨터의 가격,1,사람이 얼마나 개입했는지가 중요해요,모델이 좋아도 저작권과는 무관합니다.,현행법상 인간의 사상이나 감정이 표현되어야 저작물로 인정됩니다.,파일 크기는 권리 인정 기준이 아닙니다.,장비 가격은 권리 인정 기준이 아닙니다.
154,윤리/저작권,AI 학습 데이터에 편향된 정보가 포함되어 발생하는 문제는?,데이터의 다양성 증가,AI의 객관성 확보,알고리즘 편향(Algorithmic Bias),서버 속도 향상,2,공정하지 못한 결과가 나올 수 있어요,편향은 다양성을 해치는 요소입니다.,편향은 객관성을 떨어뜨립니다.,특정 집단에 대해 차별적이거나 불공정한 결과를 내놓게 됩니다.,성능 속도와는 관계없는 윤리적 문제입니다.
155,윤리/저작권,AI를 활용하여 창작물을 만들 때 타인의 저작권을 침해하지 않기 위해 주의해야 할 점은?,타인의 화풍이나 캐릭터를 무단으로 상업적 이용하지 않기,무조건 AI에게 다 맡기기,인터넷에 있는 건 모두 공짜라고 생각하기,아무런 확인 없이 배포하기,0,남의 소중한 작품을 함부로 쓰면 안 돼요,원작자의 권리를 보호하고 도의적 법적 책임을 다해야 합니다.,무책임한 행동이며 사고 시 본인이 책임을 집니다.,매우 위험하고 잘못된 생각입니다.,법적 분쟁의 원인이 될 수 있습니다.
156,윤리/저작권,AI 생성 이미지에 육안으로는 보이지 않지만 AI가 식별할 수 있는 정보를 삽입하여 출처를 밝히는 기술은?,워터마킹(Digital Watermarking),모자이크,필터링,압축,0,출처를 숨겨진 도장처럼 찍어요,암호화된 정보를 이미지에 심어 무단 도용 방지와 추적을 돕는 기술입니다.,단순히 화면을 가리는 기법입니다.,내용을 걸러내는 작업입니다.,데이터 용량을 줄이는 것입니다.
157,윤리/저작권,AI가 생성한 결과물을 사용할 때 반드시 명시해야 하는 정보는?,AI 생성 여부 및 출처,사용한 마우스의 브랜드,제작 당시의 날씨,제작자의 혈액형,0,AI가 만들었다고 솔직하게 밝혀요,투명성 확보를 위해 AI 결과물임을 사용자에게 알려야 합니다.,콘텐츠 신뢰성과는 전혀 무관한 정보입니다.,콘텐츠 신뢰성과는 전혀 무관한 정보입니다.,콘텐츠 신뢰성과는 전혀 무관한 정보입니다.
158,윤리/저작권,AI 알고리즘이 내린 결정의 이유를 인간이 이해할 수 있도록 설명하는 기술 분야는?,XAI (Explainable AI 설명 가능한 AI),GAI (General AI),NLP (Natural Language Processing),CNN (Convolutional Neural Network),0,판단 근거를 설명(Explain) 해줘요,블랙박스 같은 AI의 판단 과정을 사람이 납득할 수 있게 밝히는 기술입니다.,범용 인공지능을 뜻합니다.,자연어 처리 기술입니다.,이미지 인식용 인공신경망입니다.
159,윤리/저작권,AI 학습을 위해 인터넷상의 방대한 데이터를 자동으로 수집하는 행위는?,크롤링(Crawling) / 스크레이핑,디버깅,업로딩,포맷팅,0,거미줄처럼 돌아다니며 데이터를 긁어요,웹 페이지의 정보를 자동으로 수집하는 행위로 저작권 이슈가 큽니다.,오류를 잡는 작업입니다.,파일을 서버에 올리는 것입니다.,저장 장치를 초기화하는 것입니다.
160,윤리/저작권,AI 모델이 특정 인종 성별 종교 등에 대해 부정적인 편견을 가지지 않도록 조정하는 과정은?,미세 조정(Fine-tuning) 및 정렬(Alignment),오버클러킹,하드웨어 조립,폰트 변경,0,인간의 가치관과 일치(Alignment) 시켜요,윤리 가이드라인에 맞게 답변 성향을 교정하는 필수 학습 과정입니다.,성능을 강제로 끌어올리는 하드웨어 기술입니다.,물리적 조립 과정입니다.,디자인적인 요소일 뿐입니다.
