번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
61,웹 기초,웹 페이지의 '뼈대'를 담당하는 언어는?,HTML,CSS,JavaScript,Python,0,건물의 골조와 같아요,HTML은 문서의 구조와 내용을 정의하는 가장 기초적인 언어입니다.,CSS는 디자인과 스타일을 담당합니다.,JavaScript는 동적인 동작을 구현합니다.,Python은 서버 개발이나 데이터 분석에 주로 쓰입니다.
62,웹 기초,HTML 문서에서 메타 데이터(인코딩 제목 등)를 담는 영역은?,<body>,<head>,<footer>,<section>,1,브라우저에 직접 보이진 않아요,실제 화면에 출력되는 본문 영역입니다.,페이지 제목 인코딩 외부 파일 연결 등 정보를 담는 머리말 영역입니다.,페이지 하단의 저작권 정보 등을 담는 곳입니다.,본문의 특정 구획을 나누는 단위입니다.
63,웹 기초,CSS를 HTML 파일 내부에 작성할 때 사용하는 태그는?,<script>,<style>,<div>,<span>,1,멋진 옷을 입혀주는 태그예요,자바스크립트 코드를 작성할 때 쓰는 태그입니다.,CSS 스타일 규칙을 정의할 때 사용하는 전용 태그입니다.,블록 단위로 구역을 나누는 태그입니다.,인라인 단위로 텍스트 등을 묶는 태그입니다.
64,웹 기초,HTML에서 가장 큰 제목을 나타낼 때 사용하는 태그는?,<h6>,<p>,<h1>,<title>,2,가장 중요하고 큰 제목이에요,가장 작고 중요도가 낮은 제목 태그입니다.,일반적인 텍스트 문단을 정의합니다.,문서 내에서 가장 크고 핵심적인 제목을 의미합니다.,브라우저 탭에 표시되는 제목입니다.
65,웹 기초,하이퍼링크를 생성할 때 사용하는 태그와 속성의 조합으로 옳은 것은?,<a href="...">,<link src="...">,<url path="...">,<href a="...">,0,다른 곳으로 연결해주는 링크예요,<a> 태그와 href 속성을 써서 다른 주소로 연결합니다.,<link>는 주로 외부 CSS 파일을 연결할 때 씁니다.,존재하지 않는 잘못된 태그 조합입니다.,존재하지 않는 잘못된 속성 조합입니다.
66,웹 기초,이미지 태그(<img>)에서 이미지를 불러오지 못했을 때 표시할 텍스트를 지정하는 속성은?,src,alt,title,link,1,이미지 대신 보여주는 글자예요,이미지 파일의 경로를 지정하는 필수 속성입니다.,이미지를 볼 수 없는 경우를 대비한 대체 텍스트(Alternative)입니다.,마우스를 올렸을 때 나오는 도움말 텍스트입니다.,이미지 태그의 표준 속성이 아닙니다.
67,웹 기초,목록(List)을 만들 때 순서가 있는 목록을 생성하는 태그는?,<ul>,<li>,<ol>,<dl>,2,1 2 3 처럼 번호가 붙어요,순서가 없는 불렛 포인트 목록입니다.,목록 내부의 각 항목을 나타내는 태그입니다.,순서가 매겨지는 목록(Ordered List)을 만듭니다.,용어와 설명을 나열하는 정의 목록입니다.
68,웹 기초,HTML 요소들을 그룹화하거나 구역을 나눌 때 사용하는 대표적인 블록(Block) 요소 태그는?,<span>,<a>,<div>,<b>,2,박스처럼 구역을 크게 나눠요,텍스트의 일부분만 묶는 인라인 요소입니다.,링크를 거는 인라인 요소입니다.,레이아웃을 잡기 위해 가장 흔히 쓰이는 블록 단위 구획 태그입니다.,글자를 굵게 만드는 인라인 요소입니다.
69,웹 기초,텍스트 입력창을 만들 때 사용하는 태그는?,<button>,<input>,<form>,<label>,1,사용자가 직접 글자를 써요,클릭하여 동작을 수행하는 버튼입니다.,사용자로부터 데이터를 입력받는 다양한 입력창을 만듭니다.,여러 입력 요소들을 하나로 묶는 틀입니다.,입력창 옆에 이름을 붙여주는 태그입니다.
70,웹 기초,CSS에서 요소의 글자 색상을 변경하는 속성은?,font-color,text-style,color,background-color,2,글자색을 영어로 하면?,존재하지 않는 잘못된 속성명입니다.,글꼴의 기울임 등을 설정하는 속성입니다.,텍스트의 색상을 결정하는 핵심 CSS 속성입니다.,배경의 색상을 지정하는 속성입니다.
71,웹 기초,CSS에서 요소의 배경 색상을 지정하는 속성은?,bg-color,background-color,color-bg,set-background,1,뒷배경에 색을 칠해요,표준 CSS 속성명이 아닙니다.,요소의 바탕색을 지정하는 표준 속성명입니다.,잘못된 명칭입니다.,잘못된 명칭입니다.
72,웹 기초,CSS에서 테두리와 내용(Content) 사이의 안쪽 여백을 조절하는 속성은?,margin,padding,border-spacing,gap,1,안으로 푹신푹신하게 여유를 줘요,테두리 바깥쪽의 여백을 뜻합니다.,테두리 안쪽과 실제 내용 사이의 간격을 뜻합니다.,표 셀 사이의 간격을 조절합니다.,요소들 사이의 간격을 조절합니다.
73,웹 기초,CSS에서 요소와 요소 사이의 바깥쪽 여백을 조절하는 속성은?,margin,padding,border-width,outline,0,다른 박스와 거리를 둬요,다른 요소와의 간격을 벌리는 바깥쪽 여백입니다.,내용물과의 간격인 안쪽 여백입니다.,테두리의 두께를 설정합니다.,테두리 바깥에 그려지는 외곽선입니다.
74,웹 기초,CSS에서 글자의 크기를 조절하는 속성은?,text-size,font-style,font-size,character-size,2,폰트의 사이즈를 정해요,표준 CSS 속성명이 아닙니다.,글꼴의 기울임 등을 설정합니다.,px rem 등을 사용해 글자 크기를 직접 결정합니다.,표준 CSS 속성명이 아닙니다.
75,웹 기초,CSS 선택자 중 '클래스(Class)'를 선택할 때 사용하는 기호는?,# ,. ,* ,@ ,1,점(dot) 하나로 충분해요,아이디(ID)를 선택할 때 사용하는 기호입니다.,마침표(.)를 찍어 특정 클래스 이름을 가진 요소를 선택합니다.,모든 요소를 선택하는 전체 선택자입니다.,미디어 쿼리 등 특수 규칙에 쓰입니다.
76,웹 기초,CSS 선택자 중 '아이디(ID)'를 선택할 때 사용하는 기호는?,# ,. ,& ,! ,0,샵(#) 또는 우물 정자예요,유일한 아이디 값을 가진 요소를 선택할 때 샵 기호를 씁니다.,클래스를 선택하는 기호입니다.,일반 선택자 조합에는 쓰이지 않는 기호입니다.,중요도 표시 등에 쓰이나 선택자 기호는 아닙니다.
77,웹 기초,마우스를 요소 위에 올렸을 때의 스타일을 지정하는 CSS 가상 클래스는?,:active,:focus,:hover,:visited,2,마우스가 둥둥 떠다니는 상태예요,클릭하고 있는 동안의 상태입니다.,입력창 등에 커서가 들어간 상태입니다.,마우스 커서를 요소 위에 올린 시점의 스타일을 지정합니다.,방문한 적이 있는 링크의 상태입니다.
78,웹 기초,자바스크립트에서 변수를 선언할 때 사용하는 키워드가 아닌 것은?,let,const,var,def,3,파이썬에서 온 것 같은 키워드네요,재할당이 가능한 변수 선언 방식입니다.,값이 변하지 않는 상수를 선언할 때 씁니다.,과거에 주로 쓰던 변수 선언 방식입니다.,파이썬에서 함수를 정의할 때 쓰는 키워드로 JS에는 없습니다.
79,웹 기초,자바스크립트에서 경고창을 띄우는 함수는?,msg(),alert(),popup(),print(),1,사용자에게 알림을 보내요,표준 자바스크립트 함수가 아닙니다.,브라우저 상단에 알림 메시지 창을 즉시 띄웁니다.,창을 새로 띄우는 기능이며 기본 경고창은 아닙니다.,페이지 인쇄 창을 실행합니다.
80,웹 기초,자바스크립트에서 콘솔창에 로그를 남길 때 사용하는 명령어는?,console.print(),console.log(),system.out(),debug.log(),1,개발자 도구에서 확인해요,존재하지 않는 명령어입니다.,개발자 도구 콘솔 탭에 데이터나 메시지를 기록하여 확인합니다.,자바(Java) 언어의 출력 방식입니다.,일부 엔진에서 쓰이나 표준 JS 출력은 아닙니다.
81,웹 기초,자바스크립트에서 HTML 요소를 ID로 찾아오는 메서드는?,document.find(),document.getElement(),document.getElementById(),document.queryID(),2,ID로 요소를 겟(Get) 해요,표준 메서드가 아닙니다.,단순한 요소를 가져온다는 뜻의 불완전한 명칭입니다.,특정 ID를 가진 요소를 정확히 지목하여 변수에 담습니다.,표준 메서드가 아닙니다.
82,웹 기초,버튼을 클릭했을 때 특정 함수가 실행되도록 설정하는 HTML 속성은?,onpress,onclick,onhover,onstart,1,클릭(Click) 이벤트와 관련 있어요,키보드 누름 등과 관련된 명칭입니다.,클릭 시 자바스크립트 코드를 실행시키는 이벤트 속성입니다.,마우스를 올렸을 때를 의미하는 다른 속성이 필요합니다.,표준 클릭 이벤트 속성이 아닙니다.
83,웹 기초,자바스크립트에서 두 값이 같은지 비교할 때 사용하는 연산자는?,=,==,=>,++,1,똑같은지 확인해봐요,값을 대입할 때 쓰는 연산자입니다.,두 값의 상등 여부를 확인하여 참/거짓을 반환합니다.,화살표 함수를 만드는 기호입니다.,값을 1씩 증가시키는 연산자입니다.
84,웹 기초,자바스크립트에서 '만약 ~라면'과 같은 조건문을 작성할 때 사용하는 키워드는?,if,for,while,case,0,조건이 참일 때만 실행해요,주어진 조건이 참(True)인 경우에만 중괄호 안의 코드를 실행합니다.,정해진 횟수만큼 반복하는 문법입니다.,조건이 참인 동안 계속 반복하는 문법입니다.,여러 상황 중 하나를 선택하는 switch 문에서 씁니다.
85,웹 기초,자바스크립트에서 특정 작업을 반복해서 수행할 때 사용하는 문법은?,repeat,loop,for,again,2,계속 뱅글뱅글 돌아요,문자열 메서드 등으로 쓰이나 기본 반복문 키워드는 아닙니다.,일반적인 개념어이며 JS 표준 반복 키워드는 아닙니다.,초기값 조건 증감식을 사용해 정해진 만큼 코드를 되풀이합니다.,존재하지 않는 키워드입니다.
86,웹 기초,HTML 문서의 구조를 객체 모델로 나타낸 것을 무엇이라 하는가?,BOM,DOM,API,JSON,1,문서를 다루는 모델이에요,브라우저 자체를 제어하는 브라우저 객체 모델입니다.,HTML 문서를 트리 구조로 만들어 자바스크립트로 제어하게 해줍니다.,프로그램 간 소통을 돕는 인터페이스입니다.,데이터를 주고받는 텍스트 형식입니다.
87,웹 기초,CSS에서 요소의 가로 너비를 지정하는 속성은?,height,width,size,length,1,너비를 영어로 하면?,세로 높이를 지정합니다.,요소의 폭을 결정하는 핵심 속성입니다.,HTML의 일부 속성으로 쓰이나 표준 CSS 너비는 아닙니다.,물리적 길이를 뜻하는 일반 용어입니다.
88,웹 기초,CSS에서 텍스트를 가운데 정렬할 때 사용하는 속성과 값은?,align: center;,text-align: center;,vertical-align: middle;,text-position: middle;,1,텍스트를 중앙으로 옮겨요,과거 HTML 태그에서 쓰던 구식 방식입니다.,글자나 내부 요소를 가로 방향 정렬할 때 쓰는 표준 CSS 입니다.,수직 방향의 중앙 정렬을 담당합니다.,잘못된 속성명입니다.
89,웹 기초,웹 페이지 하단에 저작권 정보나 연락처를 넣을 때 주로 사용하는 태그는?,<header>,<main>,<footer>,<nav>,2,발(Foot)처럼 맨 아래에 있어요,페이지의 윗부분을 나타냅니다.,본문의 유일한 핵심 내용을 담습니다.,페이지 하단에 고정된 정보를 표시하는 시맨틱 태그입니다.,메뉴 링크 등을 모아둔 구역입니다.
