번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1 (정답),해설2,해설3,해설4
1,개념 이해형,바이브 코딩(Vibe Coding)의 정의로 가장 적절한 것은?,코드를 직접 타이핑하는 기술,자연어로 의도를 전달해 프로그램을 만드는 기술,디자인 전문 수정 기술,언어를 암기하여 입력하는 기술,1,인간의 언어를 사용해요,자연어 의도를 AI가 코드로 변환하는 방식입니다.,이는 전통적인 방식의 하드 코딩을 의미합니다.,바이브 코딩은 디자인에 국한되지 않고 로직 전체를 다룹니다.,암기가 아닌 논리적 지시가 핵심입니다.
2,개념 이해형,바이브 코딩에서 'Vibe'가 의미하는 것은?,컴퓨터의 진동,개발자의 의도와 직관적인 느낌,음악의 박자,코드의 실행 속도,1,소통의 느낌이 중요해요,개발자의 직관적인 의도를 AI에게 전달함을 뜻합니다.,물리적인 떨림은 코딩 패러다임과 관련이 없습니다.,예술적인 박자가 아닌 소통의 맥락을 의미합니다.,실행 속도는 성능의 영역이며 바이브의 본질은 아닙니다.
3,개념 이해형,Cursor나 Replit Agent의 공통적인 특징은?,단순한 메모장,LLM 기반 개발 도구,백신 프로그램,동영상 편집기,1,AI 코딩 도구들이에요,AI가 코드 작성을 보조하거나 대행하는 최신 도구입니다.,단순 메모장은 AI 기능을 포함하고 있지 않습니다.,바이러스를 잡는 보안 소프트웨어가 아닙니다.,영상 편집이 아닌 소프트웨어 개발용 도구입니다.
4,개념 이해형,전통적 코딩과 비교한 바이브 코딩의 장점은?,인터넷이 없어도 됨,문법 암기 없이 빠른 아이디어 구현,하드웨어 성능 향상,타이핑 속도 증가,1,아이디어가 바로 코드가 돼요,복잡한 문법 장벽을 넘어 기획에 집중할 수 있게 합니다.,대부분의 AI 도구는 클라우드 연결(인터넷)이 필수입니다.,소프트웨어 제작 방식일 뿐 하드웨어 자체를 좋게 만들진 않습니다.,타이핑 양 자체가 줄어드는 것이지 손 속도가 빨라지는 건 아닙니다.
5,개념 이해형,AI가 코딩 중 틀린 정보를 사실처럼 말하는 현상은?,텔레파시,환각(Hallucination),하이퍼링크,미러링,1,AI도 거짓말을 할 수 있어요,존재하지 않는 라이브러리 등을 진짜처럼 제안하는 오류입니다.,정신적인 소통 방식은 기술 용어가 아닙니다.,웹 페이지를 연결하는 통로를 의미하는 용어입니다.,화면을 그대로 복사해 보여주는 기술을 뜻합니다.
6,개념 이해형,바이브 코딩 개발자에게 가장 필요한 핵심 역량은?,암기력,기획력과 디렉팅 능력,타자 속도,체력,1,AI를 다루는 주체는 인간이에요,무엇을 만들지 정의하고 AI의 결과를 판단하는 능력이 핵심입니다.,문법 암기의 비중은 이전보다 크게 줄어들었습니다.,코드는 AI가 짜기 때문에 손 속도는 중요하지 않습니다.,모든 일에 필요하지만 바이브 코딩만의 특화 역량은 아닙니다.
7,개념 이해형,제미나이(Gemini)와 같은 멀티모달 AI의 특징은?,텍스트만 이해한다,텍스트  이미지  음성 등을 통합 이해한다,계산만 가능하다,파일 저장만 한다,1,여러 감각을 가진 AI예요,다양한 형태의 데이터를 입력받아 분석하고 코드를 생성합니다.,텍스트만 다루는 것은 이전 세대의 언어 모델입니다.,단순 계산기가 아닌 범용 인공지능에 가깝습니다.,데이터 저장보다는 생성과 분석이 주된 기능입니다.
8,개념 이해형,추상화 계층이 높아졌다'는 바이브 코딩의 특징은?,코드가 복잡해졌다,사람의 언어 수준에서 개발한다,그림만 그린다,전선을 만진다,1,기계어보다 사람 말에 가까워요,기계적인 세부 구현을 AI가 맡고 인간은 상위 개념만 다룹니다.,내부 코드는 복잡해질 수 있으나 사용법은 단순해집니다.,시각적 요소뿐만 아니라 논리 구조 전체가 추상화됩니다.,하드웨어 접점과는 거리가 먼 소프트웨어 공학적 개념입니다.
9,개념 이해형,바이브 코딩의 주요 실행 환경은 주로 무엇인가?,웹 브라우저,DOS,타자기,카세트 테이프,0,크롬 등에서 확인해요,HTML/JS 기반으로 어디서든 실행 가능한 웹 환경이 주를 이룹니다.,텍스트 기반의 아주 오래된 운영체제 환경입니다.,문자를 종이에 찍는 기계로 소프트웨어와 무관합니다.,아주 오래된 아날로그 저장 매체입니다.
10,개념 이해형,AI와 대화하며 코드를 점진적으로 완성하는 과정은?,단판 승부,반복적 피드백(Iterative),일방적 지시,무시하기,1,대화로 고쳐나가요,지속적인 피드백을 통해 결과물의 완성도를 높이는 핵심 과정입니다.,한 번의 질문으로 완벽한 프로그램을 만드는 것은 어렵습니다.,소통이 단절된 지시는 바이브 코딩의 본질과 맞지 않습니다.,잘못된 결과를 무시하면 더 나은 결과물을 얻을 수 없습니다.
