번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1 (정답),해설2,해설3,해설4
31,프로젝트 기획,프로그램 제작 시 가장 먼저 선행되어야 하는 단계는?,코드 작성,디자인 수정,프로그램 기획(의뢰서 작성),오류 수정,2,누구에게 무엇을 줄지 정해요,기획이 명확해야 AI에게 정확한 지시를 내릴 수 있습니다.,기획 없이 코드부터 짜면 나중에 전체를 고쳐야 할 수 있습니다.,시각적 요소는 기능과 로직이 정의된 후에 다루는 것이 좋습니다.,오류 수정은 프로그램 실행 이후 단계의 작업입니다.
32,프로젝트 기획,프로그램 의뢰서 작성 시 '사용자 분석'이 중요한 이유는?,컴퓨터 사양 확인,사용자의 숙련도와 니즈에 맞춘 기능 설계를 위해,이메일 주소 수집,디자인 트렌드 파악,1,누구를 위한 앱인지가 핵심!,사용자에 따라 필요한 UI/UX와 기능의 수준이 달라지기 때문입니다.,하드웨어 사양은 기획보다는 기술적 검토 단계에 가깝습니다.,개인정보 수집은 프로그램의 본질적인 기획 의도와 다릅니다.,디자인은 기획을 실현하는 수단이지 기획의 시작점은 아닙니다.
33,프로젝트 기획,초등학생용 사칙연산 게임 기획 시 가장 적절한 난이도 조절법은?,모든 문제에 루트(√) 포함,학년별 교육과정에 맞춘 숫자 범위 설정,설명서 없이 바로 시작,제한 시간 1초 설정,1,아이들의 눈높이를 고려하세요,학습 성취감을 위해 사용자의 인지 발달 수준을 고려해야 합니다.,초등 수준을 벗어난 난이도는 학습 의욕을 떨어뜨립니다.,친절한 가이드가 없으면 어린 사용자는 앱 사용을 포기합니다.,지나치게 짧은 제한 시간은 성취감보다 스트레스를 줍니다.
34,프로젝트 기획,기획 단계에서 '기능 명세서'를 작성하는 실질적인 목적은?,종이 사용량 늘리기,구현할 기능의 우선순위를 정하고 개발 누락을 방지하기,AI를 시험하기,비밀번호 암기,1,할 일 목록을 만드는 거예요,프로젝트의 규모를 파악하고 체계적으로 개발하기 위해 필요합니다.,자원 낭비는 프로젝트의 목적이 될 수 없습니다.,AI는 도구일 뿐  기획은 인간의 의사결정 과정입니다.,기능 명세는 앱의 동작을 정의하는 것이지 암기용이 아닙니다.
35,프로젝트 기획,비밀 일기장 앱 기획 시 사용자의 '프라이버시'를 보호하는 핵심 기능은?,배경색 변경,비밀번호 확인 모달(Modal) 창,글자 크기 조절,오늘 날씨 표시,1,남이 못 보게 막아야 해요,권한이 없는 사용자의 접근을 차단하는 보안의 핵심 장치입니다.,배경색은 시각적 취향일 뿐 보안 기능은 아닙니다.,시각적 편의 기능이며 데이터 보호와는 직접 관련이 없습니다.,날씨 정보는 부가 서비스일 뿐 보안과는 무관합니다.
36,프로젝트 기획,스토리 게임에서 '라이프(Life)' 시스템의 기획적 역할은?,컴퓨터 온도 조절,게임의 규칙과 긴장감 부여,저장 공간 확보,광고 시청 강제,1,규칙이 있어야 게임이에요,실패 조건을 설정하여 사용자가 목표에 집중하도록 돕습니다.,소프트웨어 시스템은 물리적 온도를 직접 제어하지 않습니다.,라이프 시스템은 로직의 일부이며 물리적 저장 공간과는 무관합니다.,수익 모델이 될 순 있지만 기획의 본질적 역할은 규칙 부여입니다.
37,프로젝트 기획,사용자 경험(UX) 기획 중 '피드백'이란 무엇인가?,AI를 비난하는 것,사용자의 행동에 대해 시스템이 반응을 보여주는 것,키보드 고장,배경음악 끄기,1,버튼을 누르면 반응이 와야죠,클릭이나 입력 시 소리  진동  시각적 변화로 상태를 알리는 것입니다.,피드백은 시스템과 사용자 간의 상호작용이지 비난이 아닙니다.,입력 장치의 하드웨어 결함은 UX 설계 개념이 아닙니다.,배경음악 제어는 설정의 일부일 뿐 상호작용 피드백 전체를 의미하지 않습니다.
38,프로젝트 기획,기획서에 '입력-처리-출력(IPO)' 구조를 사용하는 이유는?,수학 문제를 풀려고,프로그램의 전체적인 데이터 흐름을 명확히 하기 위해,디자인을 예쁘게 하려고,텍스트 양을 늘리려고,1,무엇을 넣고 무엇이 나오나?,어떤 데이터를 받아 어떻게 가공해 보여줄지 정의하는 표준 방식입니다.,수학적 사고와 관련은 있지만 앱의 흐름 정의가 주된 목적입니다.,시각적 미감과는 관계없는 구조적 설계 방식입니다.,효율적인 지시를 위해 구조화하는 것이지 양을 늘리는 것이 아닙니다.
39,프로젝트 기획,시니어(어르신)를 위한 키오스크 교육 앱 기획 시 유의점은?,화려한 영어 메뉴 구성,큰 글씨와 직관적인 아이콘 배치,최대한 많은 기능을 한 화면에 넣기,빠른 화면 전환 속도,1,보기 쉽고 누르기 쉽게!,신체적 특성과 디지털 숙련도를 고려한 접근성 확보가 필수입니다.,언어 장벽은 시니어 사용자의 앱 접근을 막는 큰 요인입니다.,복잡한 화면 구성은 사용자에게 혼란과 두려움을 줍니다.,빠른 전환은 사용자가 현재 단계를 놓치게 만듭니다.
40,프로젝트 기획,기획 단계의 '페르소나(Persona)' 설정이 의미하는 것은?,가상의 라이벌 만들기,서비스의 대표적인 가상 사용자 모델 설정,AI의 이름 짓기,디자인 도구 이름,1,"""철수""는 어떤 앱을 원할까?",가상의 사용자를 설정해 그들의 니즈를 구체적으로 상상하는 기법입니다.,경쟁사 분석과는 다른 사용자 중심 기획 도구입니다.,AI의 네이밍보다는 실제 서비스 사용자 정의가 우선입니다.,페르소나는 기획 개념이지 소프트웨어 이름이 아닙니다.
