번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1 (정답),해설2,해설3,해설4
61,문제 해결,AI에게 오류 수정을 요청할 때 가장 효율적인 정보 전달 방식은?,"""다시 짜줘""라고 짧게 말하기",오류 스크린샷과 발생 맥락을 함께 제공,컴퓨터 사양을 상세히 적기,오류를 무시하고 계속 진행,1,시각적 정보가 큰 도움이 돼요,제미나이는 이미지를 분석해 코드의 오류 지점을 정확히 찾아낼 수 있습니다.,짧은 지시는 AI가 무엇이 틀렸는지 파악하기 어렵게 만듭니다.,하드웨어 사양보다는 소프트웨어의 논리적 오류 정보가 중요합니다.,오류를 무시하면 프로그램이 정상적으로 작동하지 않습니다.
63,문제 해결,웹 앱이 작동하지 않을 때 브라우저에서 에러 메시지를 확인하는 탭은?,Network,Console(콘솔),Application,Sources,1,에러 메시지가 찍히는 곳이에요,콘솔 탭은 자바스크립트 실행 오류와 경고를 실시간으로 보여줍니다.,네트워크는 파일 전송 상태를 보며 로직 오류 분석의 주된 장소는 아닙니다.,애플리케이션은 저장소 정보 위주이며 실행 에러는 보여주지 않습니다.,소스는 코드 전체를 보기에 좋지만 에러 요약은 콘솔이 빠릅니다.
68,문제 해결,AI가 코드를 생성하다가 중간에 뚝 끊겼을 때 가장 좋은 대처법은?,"""처음부터 다시 써줘""","""끊긴 부분부터 이어서 계속 써줘""",컴퓨터 재부팅,브라우저 끄기,1,"""Continue""라고 말해봐요",출력 길이 제한(토큰 제한)으로 끊긴 경우 계속하라고 하면 이어서 작성합니다.,다시 쓰게 하면 똑같은 위치에서 또 끊길 확률이 높습니다.,서버 응답의 문제이므로 개인 컴퓨터 재부팅은 해결책이 아닙니다.,브라우저를 꺼도 AI 서버의 출력 제한은 해결되지 않습니다.
70,문제 해결,복잡한 버그를 고칠 때 AI에게 가장 먼저 알려주어야 하는 것은?,현재 발생한 증상과 예상 결과의 차이,어제 수정한 내용 전체,내 이름과 나이,코딩을 시작한 시간,0,무엇이 잘못됐는지 비교해줘요,기대값'과 '실제값'의 차이를 명확히 알려주어야 AI가 원인을 빠르게 분석합니다.,관련 없는 수정 사항은 AI의 분석에 혼선을 줄 수 있습니다.,개인 신상 정보는 디버깅 논리 파악에 전혀 도움이 되지 않습니다.,시간 정보는 코드 오류의 논리 구조와 직접적인 연관이 없습니다.
72,문제 해결,"""ReferenceError: x is not defined"" 에러의 의미는 무엇인가?",인터넷이 끊겼다,변수 x를 정의하지 않고 사용했다,디자인이 예쁘지 않다,서버가 폭발했다,1,이름표(변수)를 안 만들었대요,선언되지 않은 변수를 사용하려 할 때 발생하는 가장 기초적인 에러입니다.,네트워크 연결보다는 코드 내의 선언 문제와 관련이 있습니다.,시각적 미감과 에러 메시지는 관계가 없습니다.,하드웨어 문제가 아닌 소프트웨어 내부의 참조 에러입니다.
74,문제 해결,이미지가 화면에 안 나올 때 가장 먼저 확인해야 할 사항은?,컴퓨터 전원,이미지 파일 경로(Path)가 올바른지,키보드 연결 상태,마우스 감도,1,주소가 틀렸을지 몰라요,파일 이름이나 폴더 위치가 코드에 적힌 경로와 일치하는지 확인해야 합니다.,화면이 켜져 있다면 전원의 문제가 아니라 소프트웨어 설정 문제입니다.,입력 장치와 이미지 출력 로직은 직접적인 관계가 없습니다.,마우스의 움직임은 이미지 파일의 로드 여부에 영향을 주지 않습니다.
76,문제 해결,버튼을 눌러도 반응이 없을 때 AI에게 줄 수 있는 가장 좋은 정보는?,버튼의 색상,클릭 시 실행되는 자바스크립트 코드 부분,모니터 크기,책상 높이,1,로직을 보여줘야 고쳐요,버튼에 연결된 '이벤트 리스너' 코드를 공유해야 AI가 동작 여부를 분석합니다.,색상은 디자인 요소일 뿐 동작(클릭 이벤트) 여부와는 관련이 없습니다.,하드웨어 출력 장치의 크기는 코드 실행 로직과 무관합니다.,물리적 환경 정보는 소프트웨어 디버깅에 필요하지 않습니다.
78,문제 해결,"""SyntaxError""가 발생했을 때 주로 찾아봐야 할 실수는?",오타  괄호 짝 안 맞음 등 문법 실수,컴퓨터 바이러스,인터넷 속도 저하,배경 이미지 용량,0,글자 쓰기 규칙을 틀렸대요,컴퓨터가 이해할 수 없는 문법 규칙 위반이 있을 때 발생합니다.,바이러스보다는 코드 작성자의 단순 실수인 경우가 대부분입니다.,전송 속도와 문법 구조 오류는 별개의 문제입니다.,이미지 파일 크기는 코드 문법 해석과는 관계가 없습니다.
80,문제 해결,폰트가 적용되지 않을 때 확인해야 할 CSS 속성은?,color,font-family,background,border,1,글꼴 가족을 확인해요,글꼴의 종류를 지정하는 속성이 font-family입니다.,글자의 색상을 정하는 속성으로 글꼴 자체와는 무관합니다.,배경색이나 이미지를 정하는 속성입니다.,테두리의 두께와 모양을 정하는 속성입니다.
82,문제 해결,화면이 깨져 보일 때 AI에게 HTML과 함께 제공해야 할 코드는?,파이썬 코드,CSS 코드,엑셀 데이터,파워포인트 슬라이드,1,디자인 설계도를 보여줘요,CSS는 웹의 스타일과 레이아웃을 담당하므로 화면 깨짐 현상 수정에 필수입니다.,파이썬은 주로 백엔드에서 작동하며 웹 화면 레이아웃과는 거리가 있습니다.,데이터 값일 뿐 시각적인 배치 정보를 담고 있지 않습니다.,프레젠테이션 도구는 웹 페이지의 실제 스타일 코드와 무관합니다.
84,문제 해결,자바스크립트에서 'undefined'가 나타나는 주요 원인은?,값이 할당되지 않은 변수 참조,숫자가 너무 커서,색상 이름이 틀려서,이미지가 너무 예뻐서,0,값이 비어있다는 뜻이에요,변수는 만들었지만 아무런 값도 넣지 않은 상태에서 사용하려 할 때 발생합니다.,숫자가 크면 Infinity나 Overflow 문제가 생깁니다.,색상 이름 오류는 스타일 미적용 문제이지 undefined와 무관합니다.,시각적 미감은 변수의 값 유무와 상관이 없습니다.
86,문제 해결,"""TypeError: ... is not a function"" 에러가 뜨는 이유는?",함수가 아닌 것에 함수처럼 괄호를 붙여 호출했을 때,함수가 너무 길어서,함수 이름이 영어라서,함수 색깔이 검은색이라서,0,함수가 아닌데 시켰대요,숫자나 문자열을 함수처럼 실행하려 할 때 발생하는 데이터 타입 오류입니다.,길이는 타입 오류와 관계없으며  메모리나 성능 문제와 관련될 수 있습니다.,함수 이름은 보통 영어를 사용하며 한글로 지어도 타입 오류와는 무관합니다.,코드의 색상은 편집기 설정일 뿐 로직의 타입과는 관계가 없습니다.
88,문제 해결,텍스트가 상자 밖으로 삐져나올 때 확인해야 할 CSS 속성은?,overflow,color,opacity,cursor,0,넘치는 걸 어떻게 할까요?,내용물이 부모 요소를 벗어날 때 숨기거나 스크롤을 만드는 기능을 제어합니다.,글자 색상은 텍스트가 영역을 벗어나는 현상을 막지 못합니다.,투명도를 조절하는 속성으로 텍스트의 배치와는 무관합니다.,마우스 커서의 모양을 바꾸는 속성입니다.
