번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
91,프롬프트,이미지 생성 시 캐릭터의 외형을 일정하게 유지하기 위해 사용하는 고유값은?,Seed,Token,Pixel,Resolution,0,이미지의 씨앗 같은 존재예요,랜덤 생성의 기준이 되는 숫자로 이를 고정하면 같은 구도를 얻을 수 있습니다.,텍스트 처리 단위입니다.,이미지를 이루는 점 하나를 뜻합니다.,화면의 선명도를 나타냅니다.
92,프롬프트,기존 이미지의 구도를 유지하면서 스타일만 바꾸는 기법은?,Text2Img,Img2Img,Text2Text,Img2Audio,1,그림에서 그림으로 변환해요,참조 이미지를 바탕으로 새로운 느낌의 그림을 생성하는 방식입니다.,글자로 이미지를 만드는 기본 방식입니다.,텍스트 요약이나 번역 등을 의미합니다.,이미지에서 소리를 만들어내는 기술입니다.
93,프롬프트,프롬프트에서 '기술적 스타일(Technical Style)' 키워드의 예시로 적절한 것은?,"예쁘게 그려줘","8k resolution  cinematic lighting","강아지 한 마리","빨간 옷",1,화질이나 조명을 구체적으로 지정해요,막연한 명령입니다.,해상도 조명 엔진 렌더링 방식 등을 전문적으로 지시하는 키워드입니다.,그림의 대상에 대한 설명입니다.,색상에 대한 단순 묘사입니다.
94,프롬프트,프롬프트의 가장 앞에 위치하여 AI에게 특정 역할을 수행하도록 지시하는 기법은?,Persona(페르소나) 부여,Negative Prompt 설정,Seed 고정,Upscaling,0,"너는 전문가야"라고 역할을 정해줘요,AI가 특정 전문가로서 대답하게 하여 전문성과 신뢰도를 높입니다.,제외할 요소를 정하는 기법입니다.,이미지 재현을 위한 고정값 설정입니다.,화질을 높이는 작업입니다.
95,프롬프트,AI가 답변을 생성할 때 무작위성이나 창의성의 정도를 조절하는 파라미터는?,Token,Temperature,Prompt,Format,1,열이 오르면 더 창의적으로 변해요?,데이터 조각의 양을 조절하는 단위입니다.,값이 높을수록 기발하고 다양한 답변이 나오고 낮을수록 정확한 답변이 나옵니다.,지시문 그 자체를 뜻합니다.,답변의 출력 형식을 뜻합니다.
96,프롬프트,이미지 생성 시 특정 화풍(예: 지브리 신카이 마코토 등)을 적용하기 위해 사용하는 키워드는?,Lighting Keyword,Style Keyword,Object Keyword,Negative Keyword,1,그림의 화풍이나 스타일을 정해요,빛의 효과를 지정하는 단어입니다.,특정 작가나 스튜디오의 느낌을 입히기 위해 사용하는 키워드입니다.,그릴 대상을 지칭하는 단어입니다.,그리지 말아야 할 것을 적는 단어입니다.
97,프롬프트,프롬프트가 길어질 때 앞부분의 단어가 뒷부분보다 더 큰 영향을 미치는 현상은?,Attention(집중도) 가중치,Hallucination,Overfitting,Tokenizing,0,앞부분에 중요한 말을 써야 해요,AI 모델이 지시문의 앞쪽 내용에 더 높은 주의를 기울이는 경향입니다.,거짓 정보를 생성하는 현상입니다.,학습 데이터에 너무 과하게 맞춰진 상태입니다.,문장을 조각으로 나누는 과정입니다.
98,프롬프트,프롬프트에서 특정 단어를 강조하기 위해 (keyword:1.5)와 같이 수치를 부여하는 기법은?,Weighting(가중치),Scaling,Filtering,Masking,0,중요한 단어에 힘을 실어줘요,특정 단어의 영향력을 인위적으로 높여 결과에 반영하게 합니다.,크기를 조절하는 방식입니다.,불필요한 정보를 걸러내는 과정입니다.,특정 구역을 가리는 방식입니다.
99,프롬프트,AI에게 "단계별로 차근차근 생각해보자"라고 유도하여 논리적 답변을 얻는 기법은?,Chain of Thought(CoT),Zero-shot,Few-shot,Inpainting,0,생각의 사슬을 이어가요,중간 추론 과정을 스스로 서술하게 하여 복잡한 문제의 정답률을 높입니다.,예시 없이 바로 묻는 방식입니다.,예시를 몇 개 보여주고 묻는 방식입니다.,그림 일부를 고치는 방식입니다.
100,프롬프트,예시를 전혀 주지 않고 바로 질문을 던지는 프롬프트 방식은?,Zero-shot,One-shot,Few-shot,Multi-shot,0,한 번의 기회(샷)도 주지 않아요?,사전 학습된 능력만으로 즉석에서 정답을 생성하도록 요청하는 방식입니다.,예시를 1개 보여줍니다.,예시를 2~3개 보여줍니다.,예시를 아주 많이 보여줍니다.
101,프롬프트,AI에게 몇 가지 입출력 예시를 보여주어 답변의 형식을 학습시키는 기법은?,Zero-shot,One-shot,Few-shot,Chain of Thought,2,예시를 몇 개(Few) 보여줘요,원하는 답변 형식을 AI가 빠르게 파악하도록 돕는 강력한 기법입니다.,예시 없이 묻는 방식입니다.,예시를 딱 하나만 줍니다.,생각 과정을 유도하는 방식입니다.
102,프롬프트,이미지 생성 프롬프트에서 빛의 느낌(예: 햇살 네온사인 등)을 조절하는 키워드 카테고리는?,Lighting,Perspective,Composition,Material,0,조명을 영어로 하면?,전체적인 분위기와 명암을 결정하는 조명 관련 키워드입니다.,투시나 각도를 결정하는 키워드입니다.,구도와 배치를 결정하는 키워드입니다.,물체의 재질감을 표현하는 키워드입니다.
103,프롬프트,사진과 같이 극도로 사실적인 이미지를 얻기 위해 사용하는 키워드는?,Photorealistic,Abstract,Minimalist,Surrealism,0,진짜 사진처럼 그려달라고 해요,실제 사진과 같은 정교함과 사실성을 유도하는 키워드입니다.,형태가 추상적인 스타일입니다.,아주 단순화된 스타일입니다.,비현실적인 꿈 같은 스타일입니다.
104,프롬프트,프롬프트 작성 시 명령과 데이터를 명확히 구분하기 위해 사용하는 기호(예: """ --- 등)는?,구분자(Delimiters),연산자(Operators),변수(Variables),주석(Comments),0,영역을 확실히 나눠줘요,지시 사항과 처리할 본문을 명확히 갈라 AI의 실수를 방지하는 도구입니다.,수학적 계산 기호입니다.,데이터를 담는 이름표입니다.,설명용 메모입니다.
105,프롬프트,이미 생성된 이미지의 해상도를 높이면서 디테일을 보강하는 작업은?,Downsampling,Upscaling,Compression,Cropping,1,화질을 위(Up)로 끌어올려요,픽셀을 더 정밀하게 채워 넣어 크고 선명한 이미지를 만드는 기술입니다.,해상도를 낮추는 작업입니다.,용량을 줄이는 작업입니다.,이미지 일부를 자르는 작업입니다.
106,프롬프트,AI와 대화 시 이전 질문과 답변을 기억하여 맥락을 유지하는 공간을 무엇이라 하는가?,Context Window,Cache Memory,Hard Disk,RAM,0,대화의 맥락(Context)을 기억해요,AI가 한 번에 기억할 수 있는 정보의 범위를 뜻합니다.,속도를 위해 임시 저장하는 공간입니다.,데이터를 반영구적으로 저장하는 장치입니다.,컴퓨터의 작업용 주 기억장치입니다.
107,프롬프트,프롬프트에서 핵심적인 정보만 남기고 불필요한 수식어를 제거하여 토큰 효율을 높이는 것은?,정제(Refinement),요약(Summarization),확장(Expansion),번역(Translation),0,깔끔하게 다듬는 과정이에요,불필요한 토큰 낭비를 막고 AI에게 명확한 명령을 전달하는 과정입니다.,결과물의 길이를 줄이는 것입니다.,내용을 더 길게 늘리는 것입니다.,언어를 바꾸는 과정입니다.
108,프롬프트,이미지 생성 시 화면의 가로세로 비율(Aspect Ratio)을 설정하는 올바른 명령어 예시는?,--ar 16:9,--size 100,--ratio max,--view wide,0,애스펙트 레이쇼(AR)를 기억하세요,미드저니 등에서 쓰이는 표준 가로세로 비율 조절 명령어입니다.,단순 크기 설정일 뿐 비율과는 다릅니다.,표준 명령어가 아닙니다.,표준 명령어가 아닙니다.
109,프롬프트,AI의 답변 결과물을 특정 형식(예: 표 JSON 등)으로 지정하는 프롬프트의 위치로 가장 좋은 곳은?,프롬프트의 맨 앞 또는 맨 뒤,질문의 중간,전혀 상관없음,제목 부분,0,처음이나 마지막에 강조하세요,AI가 인지하기 가장 좋은 위치에 배치하여 일관된 형식을 유지하게 합니다.,다른 내용에 묻혀 무시될 가능성이 있습니다.,위치에 따라 정확도 차이가 발생합니다.,질문 본문보다는 끝맺음이 더 중요합니다.
