번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
121,숏폼 기획,숏폼 영상의 성공 공식 중 "3초 안에 승부를 보는 것"은?,의외성,공감,초스피드,후킹(Hooking),3,눈길을 확 잡아끄는 갈고리(Hook)예요,중요하지만 3초 승부를 지칭하진 않습니다.,공감은 시청 시간을 늘려주지만 첫인상과는 다릅니다.,빠른 전개는 필요하지만 시선 고정이 우선입니다.,영상 초반 시청자의 이탈을 막고 시선을 고정시키는 기법입니다.
122,숏폼 기획,영상 편집 시 자동으로 자막을 달아주는 기능에 특화된 도구는?,Suno,Vrew,Midjourney,Grok,1,자막 생성의 일인자 브루(Vrew)!,음악을 만들어주는 AI입니다.,AI 음성 인식을 통해 목소리를 텍스트 자막으로 자동 변환해줍니다.,이미지를 생성하는 AI입니다.,실시간 데이터 분석 텍스트 AI입니다.
123,숏폼 기획,AI 쇼츠 영상 제작 워크플로우로 가장 적절한 것은?,편집 -> 소스 준비 -> 기획,기획 -> 소스 준비 -> 편집,소스 준비 -> 기획 -> 편집,기획 -> 편집 -> 소스 준비,1,순서가 중요해요 기획부터!,거꾸로 작업하면 효율이 매우 떨어집니다.,먼저 무엇을 만들지 정하고 그에 맞는 재료를 모으고 요리(편집)해야 합니다.,재료가 있어도 기획이 없으면 방향을 잃습니다.,재료가 없으면 요리(편집)를 시작할 수 없습니다.
124,숏폼 기획,유튜브 쇼츠 틱톡 등 숏폼 플랫폼에 가장 적합한 화면 비율은?,16:9 (가로형),4:3 (정방형 가깝게),9:16 (세로형),21:9 (시네마틱),2,스마트폰을 세워보세요,일반적인 TV나 모니터의 가로 비율입니다.,과거 TV의 정사각형에 가까운 비율입니다.,숏폼 플랫폼의 표준인 세로형 와이드 비율입니다.,영화관 같은 매우 가로로 긴 비율입니다.
125,숏폼 기획,텍스트를 입력하면 사람의 목소리로 읽어주는 기술(TTS)을 제공하는 대표적인 도구는?,ElevenLabs,Runway,Pika,Sora,0,매우 자연스러운 목소리를 내줘요,고퀄리티의 감정 실린 AI 목소리를 생성하고 복제하는 강력한 도구입니다.,주로 영상 생성에 특화된 도구입니다.,영상 생성 기능을 제공하는 AI입니다.,OpenAI의 고성능 영상 생성 AI입니다.
126,숏폼 기획,사용자의 명령어를 바탕으로 고퀄리티의 배경음악(BGM)과 노래를 만들어주는 AI는?,Suno,ChatGPT,Stable Diffusion,Canva,0,가사와 분위기만 있으면 작곡 끝!,작사 작곡 편곡 가창까지 한 번에 처리해주는 음악 생성 서비스입니다.,주로 텍스트 대화와 지식을 제공합니다.,이미지를 생성하는 오픈 소스 AI입니다.,디자인 제작을 돕는 웹 서비스입니다.
127,숏폼 기획,정지된 이미지의 인물이 자연스럽게 말하도록 만드는 '말하는 아바타' 제작 도구는?,HeyGen,Midjourney,Vrew,Photoshop,0,헤이~ 젠(HeyGen)! 말하는 사진이에요,사진 한 장으로 입 모양이 싱크된 자연스러운 발화 영상을 만듭니다.,정지된 고퀄리티 그림만 생성합니다.,자막 편집과 컷 편집 중심 도구입니다.,이미지 후보정 및 합성 도구입니다.
128,숏폼 기획,텍스트나 이미지를 입력하여 수 초 분량의 영상을 생성해주는 'Text to Video' 도구가 아닌 것은?,Runway Gen-2,Pika,Sora,Excel,3,데이터 정리할 때 쓰는 거네요?,영상 생성 AI 분야의 선두주자 중 하나입니다.,창의적인 영상 생성 기능을 제공하는 AI 도구입니다.,매우 사실적인 장편급 품질을 보여주는 영상 생성 AI입니다.,수치 계산 및 표 작성을 위한 사무용 프로그램입니다.
129,숏폼 기획,영상에 시청 지속 시간(Retention)을 높이기 위해 가장 중요한 전략은?,영상 길이를 최대한 길게 함,초반 3초에 흥미 유발 및 빠른 전개,배경 음악을 작게 설정,자막을 최대한 생략,1,초반에 안 잡으면 바로 넘어가요,숏폼은 짧고 굵게 임팩트를 줘야 합니다.,지루함을 느끼지 않도록 도입부에서 시청자를 사로잡아야 합니다.,음악은 분위기를 고조시키는 중요한 요소입니다.,자막은 소리 없이 보는 유저에게도 정보를 줍니다.
130,숏폼 기획,숏폼 콘텐츠의 주제 선정 시 가장 우선적으로 고려해야 할 사항은?,최신 트렌드 및 타겟층의 관심사,제작자의 개인적인 일기,복잡한 학술적 정보,고해상도 장비의 유무,0,요즘 뭐가 유행인지 봐요,많은 사람에게 노출되려면 현재 유행과 대중의 니즈를 파악해야 합니다.,개인적인 기록은 큰 관심을 끌기 어려울 수 있습니다.,너무 어렵고 긴 정보는 숏폼 포맷에 맞지 않습니다.,최근엔 폰 하나로도 충분히 고퀄리티 제작이 가능합니다.
131,숏폼 기획,영상 소스(이미지 영상 클립)를 준비할 때 저작권 문제가 없는 소스를 찾을 수 있는 곳은?,타인의 유튜브 영상 캡처,무료 스톡 사이트(Pexels Pixabay 등),구글 이미지 무단 검색,유료 OTT 서비스 화면,1,공짜로 써도 된다고 허락된 곳이에요,무단 사용 시 법적 책임을 질 수 있습니다.,상업적 이용이 가능한 고퀄리티 소스를 안전하게 제공합니다.,검색 결과라고 모두 써도 되는 것은 아닙니다.,콘텐츠 보호 기술이 적용된 유료 자료입니다.
132,숏폼 기획,자막의 가독성을 높이기 위한 방법으로 적절하지 않은 것은?,배경과 대비되는 색상 사용,적절한 크기와 폰트 선택,너무 긴 문장을 한 화면에 다 넣기,중요 키워드 강조,2,글자가 너무 많으면 읽기 힘들어요,가독성을 높이는 기본적인 디자인 원칙입니다.,눈에 잘 띄는 서체를 사용하는 것이 좋습니다.,한눈에 읽기 어렵고 시각적 피로도를 높여 이탈을 유발합니다.,강조된 글자는 핵심 내용을 빠르게 전달합니다.
133,숏폼 기획,숏폼 영상에서 '루프(Loop)' 기법을 사용하는 주된 목적은?,영상의 끝과 시작을 자연스럽게 연결해 반복 시청 유도,영상의 용량을 줄이기 위해,자막 오타를 숨기기 위해,오디오 음질을 높이기 위해,0,다시 봐도 처음 보는 것 같아요?,끝과 시작의 경계를 허물어 시청자가 무의식중에 영상을 계속 보게 합니다.,용량 절감과는 상관없는 편집 기법입니다.,실수를 가리는 용도가 아닙니다.,음질 개선과는 무관한 연출 기법입니다.
134,숏폼 기획,영상의 배경을 자동으로 제거해주는 AI 기술을 무엇이라 하는가?,Remove Background (RMBG),Color Grading,Upscaling,Rendering,0,누끼 따기라고도 불러요,인물만 남기고 불필요한 배경을 순식간에 지워주는 기술입니다.,영상 전체의 색감을 조절하는 작업입니다.,해상도를 높여 선명하게 만드는 작업입니다.,편집된 결과물을 실제 파일로 변환하는 최종 단계입니다.
